PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment,Data Validity Comment
37,461536676,162658580,C[C@]12CC[C@H](C1(C)C)C[C@H]2OC(=O)CCN3CCCCC3.Cl,Unspecified,,,,89.4,IC50,=,89400,nM,,
38,461537491,162659140,C[C@]12CC[C@H](C1(C)C)C[C@H]2OC(=O)CCCN3CCCCC3,Unspecified,,,,50.1,IC50,=,50100,nM,,
39,461537555,162659188,C[C@]12CC[C@H](C1(C)C)C[C@H]2OC(=O)CCCCN3CCCCC3,Unspecified,,,,105.4,IC50,=,105400,nM,,Outside typical range
40,461539010,162660244,C[C@]12CC[C@H](C1(C)C)C[C@H]2OC(=O)CCCN3CCN(CC3)CCO,Unspecified,,,,192,IC50,=,192000,nM,,Outside typical range
41,461540665,162661366,C[C@]12CC[C@H](C1(C)C)C[C@H]2OC(=O)CCN3CCN(CC3)CC4=CC=CC=C4,Unspecified,,,,27,IC50,=,27000,nM,,
42,461542016,162662311,C[C@@]12CC[C@@H](C1(C)C)C[C@H]2NC(=O)CCCN3CCN(CC3)C,Unspecified,,,,474.7,IC50,=,474700,nM,,Outside typical range
43,461542646,162662735,CCN(CC)CCCC(=O)O[C@@H]1C[C@@H]2CC[C@]1(C2(C)C)C,Unspecified,,,,195.4,IC50,=,195400,nM,,Outside typical range
44,461542926,917469,C[C@]12CC[C@H](C1(C)C)C[C@H]2OC(=O)CCN(C)C,Inconclusive,,,Potential missing data,,IC50,,,,Not Determined,
45,461544682,162664197,C[C@@]12CC[C@@H](C1(C)C)C[C@H]2NC(=O)CCN3CCN(CC3)C,Unspecified,,,,485.6,IC50,=,485600,nM,,Outside typical range
46,461547864,162666404,C[C@]12CC[C@H](C1(C)C)C[C@H]2OC(=O)CN3CCN(CC3)CCN,Unspecified,,,,24.1,IC50,=,24100,nM,,
47,461553383,162670260,CCN1CCN(CC1)CCCC(=O)O[C@@H]2C[C@@H]3CC[C@]2(C3(C)C)C,Unspecified,,,,165.3,IC50,=,165300,nM,,Outside typical range
48,461555771,162671952,CC1CCN(CC1)CCC(=O)O[C@@H]2C[C@@H]3CC[C@]2(C3(C)C)C.Cl,Unspecified,,,,71.5,IC50,=,71500,nM,,
49,461557692,162673349,C[C@]12CC[C@H](C1(C)C)C[C@H]2OC(=O)CCN3CCN(CC3)CCO,Unspecified,,,,258.9,IC50,=,258900,nM,,Outside typical range
50,461558160,929702,CCN(CC)CC(=O)O[C@@H]1C[C@@H]2CC[C@]1(C2(C)C)C,Unspecified,,,,560.9,IC50,=,560900,nM,,Outside typical range
51,461559940,6347575,C[C@@]12CC[C@@H](C1(C)C)C[C@H]2NC(=O)CCN3CCOCC3,Unspecified,,,,312.5,IC50,=,312500,nM,,Outside typical range
52,461562679,162676862,C[C@]12CC[C@H](C1(C)C)C[C@H]2OC(=O)CCCN3CCN(CC3)CC4=CC=CC=C4,Unspecified,,,,26,IC50,=,26000,nM,,
