PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,Ratio-Curve_Description,Ratio-Fit_LogAC50,Ratio-Fit_HillSlope,Ratio-Fit_R2,Ratio-Fit_InfiniteActivity,Ratio-Fit_ZeroActivity,Ratio-Fit_CurveClass,Ratio-Excluded_Points,Ratio-Max_Response,Ratio-Activity at 0.0000054935 uM,Ratio-Activity at 0.0000109870 uM,Ratio-Activity at 0.0000219741 uM,Ratio-Activity at 0.0000439481 uM,Ratio-Activity at 0.0000878962 uM,Ratio-Activity at 0.0001757925 uM,Ratio-Activity at 0.0003515850 uM,Ratio-Activity at 0.0007031700 uM,Ratio-Activity at 0.00141 uM,Ratio-Activity at 0.00281 uM,Ratio-Activity at 0.00563 uM,Ratio-Activity at 0.011 uM,Ratio-Activity at 0.023 uM,Ratio-Activity at 0.045 uM,Ratio-Activity at 0.090 uM,Ratio-Activity at 0.180 uM,Ratio-Activity at 0.360 uM,Ratio-Activity at 0.720 uM,Ratio-Activity at 1.440 uM,Ratio-Activity at 2.880 uM,Ratio-Activity at 5.760 uM,Ratio-Activity at 11.52 uM,Ratio-Activity at 23.04 uM,Ratio-Activity at 46.08 uM,W460-Curve_Description,W460-Fit_LogAC50,W460-Fit_HillSlope,W460-Fit_R2,W460-Fit_InfiniteActivity,W460-Fit_ZeroActivity,W460-Fit_CurveClass,W460-Excluded_Points,W460-Max_Response,W460-Activity at 0.0000054935 uM,W460-Activity at 0.0000109870 uM,W460-Activity at 0.0000219741 uM,W460-Activity at 0.0000439481 uM,W460-Activity at 0.0000878962 uM,W460-Activity at 0.0001757925 uM,W460-Activity at 0.0003515850 uM,W460-Activity at 0.0007031700 uM,W460-Activity at 0.00141 uM,W460-Activity at 0.00281 uM,W460-Activity at 0.00563 uM,W460-Activity at 0.011 uM,W460-Activity at 0.023 uM,W460-Activity at 0.045 uM,W460-Activity at 0.090 uM,W460-Activity at 0.180 uM,W460-Activity at 0.360 uM,W460-Activity at 0.720 uM,W460-Activity at 1.440 uM,W460-Activity at 2.880 uM,W460-Activity at 5.760 uM,W460-Activity at 11.52 uM,W460-Activity at 23.04 uM,W460-Activity at 46.08 uM,W530-Curve_Description,W530-Fit_LogAC50,W530-Fit_HillSlope,W530-Fit_R2,W530-Fit_InfiniteActivity,W530-Fit_ZeroActivity,W530-Fit_CurveClass,W530-Excluded_Points,W530-Max_Response,W530-Activity at 0.0000054935 uM,W530-Activity at 0.0000109870 uM,W530-Activity at 0.0000219741 uM,W530-Activity at 0.0000439481 uM,W530-Activity at 0.0000878962 uM,W530-Activity at 0.0001757925 uM,W530-Activity at 0.0003515850 uM,W530-Activity at 0.0007031700 uM,W530-Activity at 0.00141 uM,W530-Activity at 0.00281 uM,W530-Activity at 0.00563 uM,W530-Activity at 0.011 uM,W530-Activity at 0.023 uM,W530-Activity at 0.045 uM,W530-Activity at 0.090 uM,W530-Activity at 0.180 uM,W530-Activity at 0.360 uM,W530-Activity at 0.720 uM,W530-Activity at 1.440 uM,W530-Activity at 2.880 uM,W530-Activity at 5.760 uM,W530-Activity at 11.52 uM,W530-Activity at 23.04 uM,W530-Activity at 46.08 uM,Compound QC
11,26755561,3895545,C1=C(C=C(C(=C1Cl)NC(=O)C2=C(C(=CC(=C2)Cl)Cl)O)Cl)[N+](=O)[O-],Active,83,,,Inhibitor,10,128.049,,Complete curve; high efficacy,-5,1,0.9053,-135.424,-7.3756,-1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-109.268,2.7317,13.6585,1.3659,-15.0244,-11.6098,6.8293,-10.9268,2.7317,-30.7317,-4.0976,-2.0488,-11.6098,-17.0732,-23.2195,-6.8293,-14.3415,-21.1707,-6.8293,-29.3659,-36.1951,-49.1707,-76.4878,-102.439,-109.268,Partial curve; high efficacy; poor fit,-5,0.8,0.7943,-117.596,5.2703,-2.3,0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-91.6523,5.7156,25.4659,18.221,-16.6693,2.8361,24.2493,-16.0569,17.2985,-37.504,11.1551,20.1262,-10.9479,-11.1155,-16.5044,20.4804,-10.4895,-19.5502,12.974,-23.2302,-33.2498,-36.5258,-50.641,-82.288,-91.6523,Complete curve; partial efficacy; poor fit,-5,1.9673,0.8353,61.5601,5.4865,1.4,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,58.8056,1.947,7.5842,11.9819,-1.1753,11.1836,11.8348,-4.1398,10.2279,-6.2612,11.0518,16.0457,0.4522,4.9791,5.6268,20.4709,3.2134,1.5172,14.9745,5.7403,3.1554,14.0914,41.0235,52.4216,58.8056,QC'd by Labotest
12,26755564,4865,COC1=CC(=CC(=C1OC)OC)C2C3C(COC3=O)C(C4=CC5=C(C=C24)OCO5)O,Inconclusive,27,,,Inhibitor,0.0631,49.2707,,Complete curve; partial efficacy,-7.2,1.331,0.943,-50.9854,-1.7146,-1.2,0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0,-43.7073,-5.4634,-4.0976,0.6829,6.1463,3.4146,1.3659,-6.1463,-6.8293,-4.7805,-2.7317,-23.2195,-2.7317,-19.8049,-10.9268,-39.6098,-45.7561,-35.5122,-51.9024,-53.9512,-47.122,-53.9512,-53.2683,-56,-43.7073,Complete curve; partial efficacy; poor fit,-7.3,1.2221,0.8734,-34.5719,13.8736,-1.4,1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0,-22.805,-13.5225,20.2515,21.4918,21.2796,13.3915,17.6149,-0.2308,-0.6994,12.2937,17.5165,-17.1495,13.2074,-5.786,16.4616,-11.7471,-29.1479,-4.0943,-38.9233,-39.085,-21.7246,-29.5743,-37.0724,-52.2438,-22.805,Complete curve; partial efficacy; poor fit,-7.9,0.6,0.6564,26.5221,3.1623,1.4,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1,11.4203,4.7778,12.6253,-0.7358,3.8268,-4.0314,6.7157,11.3158,14.8609,8.0421,12.0158,8.4968,9.2003,9.1223,23.156,23.4559,20.219,26.6813,35.2451,19.6922,37.6721,23.328,14.0404,24.724,11.4203,QC'd by SigmaAldrich
13,26755562,358793,COC1=CC(=CC(=C1OC)OC)C2C3=CC4=C(C=C3OC5=C2C(=O)OC5)OCO4,Inconclusive,20,,,Inhibitor,0.3981,44.2732,,Complete curve; partial efficacy; poor fit,-6.4,0.9,0.7973,-50.2829,-6.0098,-1.4,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-40.9756,10.9268,1.3659,-12.9756,-16.3902,8.1951,-4.7805,-9.561,-12.9756,2.0488,-9.561,-2.0488,-10.9268,-2.0488,-21.8537,-30.7317,-10.2439,-11.6098,-49.1707,-37.561,-45.7561,-47.122,-49.1707,-51.9024,-40.9756,Complete curve; partial efficacy; poor fit,-5.9,0.3,0.3963,-46.283,7.5,-1.4,1 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0,-19.0605,23.4488,18.4684,-16.8579,-20.9037,27.8014,13.0776,-6.7891,-9.3189,22.3888,-2.932,14.0973,-4.6601,18.1884,-30.3274,-27.1685,12.0968,16.7736,-30.9124,-14.1376,-21.1057,-37.3237,-35.6454,-37.6945,-19.0605,,,,,,,4,,25.9698,2.1445,-6.415,1.9513,3.8122,9.1964,12.2331,9.3023,13.5801,14.074,7.647,5.2894,11.1246,8.4302,12.3418,9.6573,2.8502,23.2354,24.5923,29.8999,22.9586,14.3669,6.9388,19.8487,25.9698,QC'd by SigmaAldrich
14,7968227,5309292,C1CN(CCN1CCNC(=O)CN2C3=C(C=N2)C(=O)OC4=CC=CC=C43)C5=CC=CC=C5F,Inconclusive,20,,,Inhibitor,12.5893,69.2864,,Partial curve; partial efficacy; poor fit,-4.9,1.6924,0.8586,-66.3818,2.9045,-2.4,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-61.7273,7.6364,-10.8182,7.6364,-2.5455,10.1818,-0.6364,8.2727,3.1818,10.1818,-2.5455,8.2727,8.9091,8.2727,6.3636,-12.0909,3.1818,1.2727,1.2727,2.5455,-15.2727,-0.6364,-31.8182,-45.1818,-61.7273,Partial curve; partial efficacy; poor fit,-4.6,1.7137,0.6893,-64.6086,7.5,-2.4,0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-48.062,-1.6405,-17.866,6.4612,-11.4633,6.4273,7.4197,14.8326,6.637,16.1071,-11.8682,13.6578,10.181,7.3941,21.2799,2.9555,20.1674,12.7115,10.6083,15.2543,-10.2472,8.0516,-11.6229,-25.2328,-48.062,,,,,,,4,,2.5973,-18.4446,-17.6583,-13.6154,-18.5698,-15.1358,-7.803,-9.2217,-10.6076,-9.6132,-18.8137,-9.8215,-12.0544,-13.4269,-4.1244,-2.6693,-2.358,-5.7427,-7.3017,-5.1641,-9.2863,-7.2649,3.3296,5.2663,2.5973,QC'd by DPISMR
15,26749983,2363,COC1=CC(=CC(=C1OC)OC)C2C3C(CC4=C(C5=C(C=C24)OCO5)O)COC3=O,Inconclusive,20,,,Inhibitor,0.0398,32.6561,,Complete curve; partial efficacy; poor fit,-7.4,4.9549,0.7855,-27.1561,5.5,-1.4,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-23.9024,-19.122,7.5122,20.4878,7.5122,4.7805,-19.122,12.2927,-12.2927,-1.3659,-5.4634,15.7073,-1.3659,15.0244,-18.439,-25.2683,-21.8537,-25.9512,-20.4878,-30.0488,-36.1951,-40.2927,-31.4146,-15.7073,-23.9024,Complete curve; partial efficacy; poor fit,-8.6,0.2,0.4687,-30.6104,14.3203,-1.4,1 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1,-6.5628,-30.8178,8.2186,6.954,-5.4152,-3.3929,-34.1232,-1.6802,-25.9371,-14.7801,-14.3057,6.0494,-9.021,1.925,-18.8763,-12.2637,-12.1512,-26.3118,-8.133,-29.0053,-32.5683,-39.9846,-28.3218,0.4475,-6.5628,,,,,,,4,,18.8886,0.3048,-4.068,-4.31,2.0348,-5.55,-5.4193,-5.8696,-10.2367,-6.5469,0.9373,-0.842,3.5185,-3.4934,6.7172,12.5485,16.147,8.7345,10.2475,3.2695,7.7774,11.686,15.24,21.1432,18.8886,QC'd by Microsource
16,26755553,2196730,C1=CC(=C(C=C1Cl)NC(=O)C2=C(C(=CC(=C2)[N+](=O)[O-])Br)O)Cl,Inconclusive,20,,,Inhibitor,15.8489,108.083,,Partial curve; high efficacy; poor fit,-4.8,1.4163,0.8478,-107.459,0.6249,-2.3,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-105.171,8.1951,12.2927,-0.6829,14.3415,19.8049,15.7073,0,-0.6829,-6.8293,-17.0732,-6.8293,2.0488,13.6585,-1.3659,-12.9756,-4.7805,-13.6585,5.4634,-8.878,-18.439,-15.7073,-45.7561,-57.3659,-105.171,Partial curve; high efficacy; poor fit,-4.6,2.4729,0.6288,-101.956,2.167,-2.3,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-82.2547,-8.0281,22.5244,-8.2397,18.1174,-12.7643,12.6403,-17.7511,-3.8181,-16.0863,6.4068,20.6326,-4.3897,26.0963,8.241,-17.269,4.4376,-8.5875,22.0915,-12.5949,23.4003,-21.9413,-1.9711,-47.6591,-82.2547,Partial curve; partial efficacy; poor fit,-4.7,1,0.6655,54.3411,2.5174,2.4,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,44.0046,-1.5475,10.485,-4.9198,3.1818,1.3194,-0.924,-5.8188,-1.3303,-4.1473,6.2293,9.3555,-1.1107,14.867,5.2851,-4.8323,13.2892,5.2725,15.6973,2.2202,20.5551,0.7033,17.3613,34.914,44.0046,QC'd by Chembridge
17,29216394,72435,COC1=CC(=CC(=C1OC)OC)[C@H]2[C@H]3[C@H](COC3=O)[C@H](C4=CC5=C(C=C24)OCO5)O,Inconclusive,20,,,Inhibitor,3.1623,29.4244,,Complete curve; partial efficacy; poor fit,-5.5,1.1,0.5792,-33.478,-4.0537,-1.4,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-25.2683,2.0488,-18.439,-2.7317,-7.5122,-0.6829,-6.8293,10.9268,-8.878,-6.8293,-5.4634,-9.561,1.3659,-11.6098,0.6829,6.1463,-17.0732,-12.9756,0.6829,-1.3659,-22.5366,-32.0976,-21.1707,-39.6098,-25.2683,Complete curve; partial efficacy; poor fit,-5.6,4.9549,0.3785,-27.325,0.5321,-1.4,0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1,0.3644,7.5461,-21.3205,-0.8152,-14.3281,-1.2512,-3.0138,26.6417,-11.3405,-5.8218,-2.5804,-7.4278,22.7206,-13.6907,25.1444,25.6846,-18.3201,-12.2931,23.7423,15.0838,-17.4557,-27.7765,-20.4612,-33.994,0.3644,,,,,,,4,,19.0086,-16.6047,-8.9714,-5.9588,8.752,10.7616,-0.5134,10.0143,14.3837,-2.7288,8.4224,7.0288,8.3131,-9.7253,16.1964,15.8183,10.8655,2.2639,6.2167,10.9208,7.4247,28.5401,27.2986,19.8844,19.0086,QC'd by Microsource
18,26755559,160705,COC1=CC(=CC(=C1O)OC)[C@H]2[C@@H]3[C@@H](CC4=CC5=C(C=C24)OCO5)COC3=O,Inconclusive,20,,,Inhibitor,2.5119,50.4049,,Complete curve; partial efficacy; poor fit,-5.6,3.6772,0.8156,-50.2122,0.1927,-1.4,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-55.3171,10.2439,0.6829,6.8293,-12.2927,12.2927,-19.122,0,-6.1463,0.6829,16.3902,13.6585,-10.2439,-9.561,-6.8293,-6.8293,8.1951,-3.4146,4.7805,-8.878,-25.2683,-56.6829,-42.3415,-47.8049,-55.3171,Complete curve; partial efficacy; poor fit,-5.5,4.9549,0.7041,-35.0126,6.5,-1.4,0 0 1 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0,-36.4356,13.2393,10.4646,26.1398,-24.8944,6.1951,-21.1319,-0.303,-6.0033,-3.2785,23.3254,19.2356,-21.4842,-1.1719,-9.6936,-2.7894,13.465,-6.371,26.3175,6.3774,0.39,-47.7761,-29.2751,-28.5066,-36.4356,Partial curve; partial efficacy; poor fit,-5.1,0.6,0.7469,42.1374,2.508,2.4,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0,33.0716,-10.7168,2.3922,-2.8469,-3.492,-1.5169,4.2613,11.7886,7.2856,-7.0901,-0.4461,5.7345,5.3908,9.9364,2.3175,14.2466,7.5677,1.1556,5.7436,36.0916,11.4438,29.8094,21.8451,26.5128,33.0716,QC'd by InterBioScreen
19,26755569,3101739,C1=CC(=C(C=C1Cl)C(=O)NC2=C(C=C(C=C2Cl)[N+](=O)[O-])Cl)O,Inconclusive,10,,,Inconclusive,12.5893,79.9828,,Complete curve; high efficacy,-5.2,0.7,0.9481,-136.039,-3.7083,-1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-113.366,-8.1951,-4.7805,-10.9268,5.4634,6.8293,10.2439,-15.7073,9.561,5.4634,-13.6585,-14.3415,0,0,-19.122,-12.2927,-22.5366,-22.5366,-25.9512,-30.7317,-52.5854,-66.9268,-85.3659,-104.488,-113.366,,,,,,,5,,-94.6751,12.46,4.7899,-12.8295,16.9321,14.8281,19.928,-2.932,35.8353,22.2009,1.4193,-10.8162,26.4978,22.05,-8.3957,-1.7051,-8.6751,-7.0231,-9.2371,-11.5029,-40.7377,-45.2156,-59.4957,-86.2723,-94.6751,Partial curve; partial efficacy; poor fit,-4.9,0.8,0.8522,85.2198,5.2371,2.4,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,68.7577,15.8015,6.863,-1.4517,7.8615,5.6234,6.5604,10.3814,17.6623,11.6001,11.786,2.9879,18.9941,15.8784,9.1474,8.0282,11.8609,13.3558,14.4685,17.8053,13.8887,29.5572,47.2284,51.7672,68.7577,QC'd by Vitas
20,26755551,2904867,CCOC1=CC(=CC(=[O+]CC)C2=C(OC(=C12)C)C)C3=CC4=C(C=C3)OCO4,Inconclusive,10,,,Inconclusive,,,,Complete curve; partial efficacy; poor fit,-5.7,1.21,0.7672,-29.0146,2.678,-1.4,0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0,-32.7805,-4.7805,11.6098,2.7317,-1.3659,-5.4634,0,8.878,-16.3902,-5.4634,4.0976,10.9268,-4.0976,13.6585,-21.1707,3.4146,1.3659,-6.8293,-2.0488,-6.1463,-24.5854,-15.0244,-30.7317,-21.1707,-32.7805,,,,,,,4,,-19.9108,-3.985,22.9636,-9.8643,5.7195,-8.6905,-1.3822,25.1258,-22.6356,-3.0682,13.7994,21.9023,-0.5716,24.3394,-23.2404,19.3066,14.151,-7.4291,16.2538,-1.1124,-8.5166,6.2297,-9.2166,-0.1298,-19.9108,,,,,,,4,,11.8616,0.5289,7.7106,-8.9461,5.0168,-2.4285,-1.1873,10.6835,-5.287,1.6525,6.6669,7.0959,2.4528,6.8166,-1.806,11.047,8.9512,-0.709,13.0085,4.0136,13.7115,16.9515,19.5477,17.4215,11.8616,QC'd by Chembridge
21,29216397,92122,COC1=CC(=CC(=C1OC)OC)[C@H]2[C@@H]3[C@@H](CC4=C(C5=C(C=C24)OCO5)O)COC3=O,Inconclusive,10,,,Inconclusive,5.012e-05,49.3067,,Complete curve; partial efficacy; poor fit,-5.8,1.0641,0.8478,-50.722,4.1756,-1.4,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-56.6829,-4.7805,-0.6829,-4.0976,4.0976,17.7561,4.7805,19.8049,-7.5122,12.9756,6.1463,-0.6829,11.6098,-7.5122,1.3659,-7.5122,7.5122,3.4146,-17.0732,-28,-29.3659,-36.1951,-50.5366,-36.878,-56.6829,Complete curve; partial efficacy; poor fit,-5.7,4.4495,0.6556,-34.3749,6.5,-1.4,1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0,-27.4511,-12.7732,-5.3186,17.7351,-11.5425,7.0461,20.1492,18.9575,2.5535,16.2052,19.492,-21.2853,19.492,-8.7608,-7.0576,-14.9048,-8.4354,10.7907,19.4185,5.2892,-32.9928,-42.7593,-42.1749,-21.6568,-27.4511,Complete curve; partial efficacy; poor fit,-10.3,0.3,0.6475,24.7466,-24.5601,1.4,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,25.5879,-7.3329,-16.0033,-9.4466,7.9669,10.4899,8.0584,13.6563,5.4496,10.0565,15.9046,1.8943,18.2415,11.2723,27.8603,11.8363,21.0003,17.6386,14.8598,20.9785,34.558,37.5584,9.3274,29.1984,25.5879,QC'd by Microsource
