"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"Np Likeness Score";"Molecular Formula";"Smiles";"Inchi Key";"Inchi";"Withdrawn Flag";"Orphan";"Records Key";"Records Name"
"CHEMBL4761341";"";"";"Unknown";"";"552.76";"3";"8";"5.72";"48.05";"5";"1";"2";"11";"N";"0.31";"3";"MOL";"-1";"41";"-1.15";"C35H44N4O2";"CC/C(=C(/c1ccc(NC(=O)CN2CCN(C)CC2)cc1)c1ccc(OCCN2CCCC2)cc1)c1ccccc1";"SLUWTGSZNMZBGB-LAPDZXRHSA-N";"InChI=1S/C35H44N4O2/c1-3-33(28-9-5-4-6-10-28)35(30-13-17-32(18-14-30)41-26-25-38-19-7-8-20-38)29-11-15-31(16-12-29)36-34(40)27-39-23-21-37(2)22-24-39/h4-6,9-18H,3,7-8,19-27H2,1-2H3,(H,36,40)/b35-33+";"False";"-1";"['34']";"['(E)-2-(4-methylpiperazin-1-yl)-N-(4-(2-phenyl-1-(4-(2-(pyrrolidin-1-yl)ethoxy)phenyl)but-1-enyl)phenyl)acetamide']"
"CHEMBL226269";"";"";"Small molecule";"";"463.57";"5";"9";"7.07";"41.93";"5";"1";"1";"7";"N";"0.32";"4";"MOL";"-1";"33";"-0.86";"C27H26FNO3S";"Oc1ccc2c(Oc3ccc(OCCN4CCCCC4)cc3)c(-c3ccc(F)cc3)sc2c1";"UXOKNLLQRMTSSJ-UHFFFAOYSA-N";"InChI=1S/C27H26FNO3S/c28-20-6-4-19(5-7-20)27-26(24-13-8-21(30)18-25(24)33-27)32-23-11-9-22(10-12-23)31-17-16-29-14-2-1-3-15-29/h4-13,18,30H,1-3,14-17H2";"False";"-1";"['3, F-DMA', '13']";"['2-(4-fluorophenyl)-3-(4-(2-(piperidin-1-yl)ethoxy)phenoxy)benzo[b]thiophen-6-ol', '2-(4-fluorophenyl)-3-(4-(2-(piperidin-1-yl)ethoxy)phenoxy)benzo[b]thiophen-6-ol']"
"CHEMBL5398314";"";"";"";"";"454.62";"5";"6";"5.15";"49.30";"4";"2";"1";"9";"N";"0.34";"4";"MOL";"-1";"34";"-0.93";"C29H34N4O";"O=C(CCNCCC1CCN(Cc2ccccc2)CC1)Nn1c2ccccc2c2ccccc21";"IJMIYPOMQDWUPR-UHFFFAOYSA-N";"InChI=1S/C29H34N4O/c34-29(31-33-27-12-6-4-10-25(27)26-11-5-7-13-28(26)33)15-19-30-18-14-23-16-20-32(21-17-23)22-24-8-2-1-3-9-24/h1-13,23,30H,14-22H2,(H,31,34)";"False";"-1";"['2']";"['3-((2-(1-benzylpiperidin-4-yl)ethyl)amino)-N-(9H-carbazol-9-yl)propanamide']"
"CHEMBL4797649";"";"";"Unknown";"";"731.96";"3";"4";"8.67";"107.59";"9";"2";"2";"17";"N";"0.10";"4";"MOL";"-1";"52";"-0.83";"C41H53N3O7S";"COc1ccc(-c2sc3cc(OC)ccc3c2Oc2ccc(OCCN3CCC(CCNC(=O)CCCCNC(=O)OC(C)(C)C)CC3)cc2)cc1";"IZYUSLLGXKPGPK-UHFFFAOYSA-N";"InChI=1S/C41H53N3O7S/c1-41(2,3)51-40(46)43-22-7-6-8-37(45)42-23-19-29-20-24-44(25-21-29)26-27-49-32-13-15-33(16-14-32)50-38-35-18-17-34(48-5)28-36(35)52-39(38)30-9-11-31(47-4)12-10-30/h9-18,28-29H,6-8,19-27H2,1-5H3,(H,42,45)(H,43,46)";"False";"-1";"['16']";"['tert-butyl 5-(2-(1-(2-(4-(6-methoxy-2-(4-methoxyphenyl)benzo[b]thiophen-3-yloxy)phenoxy)ethyl)piperidin-4-yl)ethylamino)-5-oxopentylcarbamate']"
"CHEMBL4751659";"";"";"Unknown";"";"554.51";"3";"4";"7.66";"53.99";"5";"0";"2";"8";"N";"0.21";"4";"MOL";"-1";"35";"-0.62";"C28H28BrNO4S";"COc1ccc2c(Oc3ccc(OCCN4CCCCC4)cc3)c(-c3ccc(Br)cc3)[s+]([O-])c2c1";"DTSJMKXTEZOGKV-UHFFFAOYSA-N";"InChI=1S/C28H28BrNO4S/c1-32-24-13-14-25-26(19-24)35(31)28(20-5-7-21(29)8-6-20)27(25)34-23-11-9-22(10-12-23)33-18-17-30-15-3-2-4-16-30/h5-14,19H,2-4,15-18H2,1H3";"False";"-1";"['17']";"['1-(2-{4-[2-(4-Bromo-phenyl)-6-methoxy-1-oxo-benzo[b]thiophen-3-yloxy]-phenoxy}-ethyl)-piperidine']"
"CHEMBL4795040";"";"";"Unknown";"";"541.74";"3";"8";"5.51";"46.20";"6";"1";"2";"12";"N";"0.31";"3";"MOL";"-1";"40";"-0.86";"C34H43N3O3";"CC/C(=C(/c1ccc(NCCN2CCOCC2)cc1)c1ccc(OCCN2CCOCC2)cc1)c1ccccc1";"SKJNKIGQWDQUPS-JEIPZWNWSA-N";"InChI=1S/C34H43N3O3/c1-2-33(28-6-4-3-5-7-28)34(29-8-12-31(13-9-29)35-16-17-36-18-23-38-24-19-36)30-10-14-32(15-11-30)40-27-22-37-20-25-39-26-21-37/h3-15,35H,2,16-27H2,1H3/b34-33+";"False";"-1";"['29']";"['(E)-4-(1-(4-(2-morpholinoethoxy)phenyl)-2-phenylbut-1-enyl)-N-(2-morpholinoethyl)aniline']"
"CHEMBL4445585";"";"";"Unknown";"";"660.52";"15";"78";"4.20";"74.78";"8";"2";"1";"10";"N";"0.24";"4";"MOL";"-1";"38";"-0.87";"C30H42Cl4N6O2";"Cl.Cl.Cl.Cl.c1cc(NCCCCN2CCOCC2)c2ccc3c(ccc4c(NCCN5CCOCC5)ccnc43)c2n1";"LOLFEDVPLJIWNM-UHFFFAOYSA-N";"InChI=1S/C30H38N6O2.4ClH/c1(2-13-35-15-19-37-20-16-35)9-31-27-7-10-33-29-23-4-6-26-28(32-12-14-36-17-21-38-22-18-36)8-11-34-30(26)24(23)3-5-25(27)29;;;;/h3-8,10-11H,1-2,9,12-22H2,(H,31,33)(H,32,34);4*1H";"False";"-1";"['ZSML08; 2']";"["N-(4-Morpholin-4-ylbutyl)-N'-(2-morpholin-4-ylethyl)quino[8,7-h]quinoline-1,7-diamine tetrahydrochloride"]"
"CHEMBL520107";"";"";"Small molecule";"";"469.59";"28";"50";"5.79";"70.75";"6";"2";"1";"7";"N";"0.36";"4";"MOL";"-1";"35";"-0.94";"C29H31N3O3";"Cc1c(-c2ccc(O)cc2)nn(-c2ccc(O)cc2)c1-c1ccc(OCCN2CCCCC2)cc1";"TXLGPGWHIIHRHH-UHFFFAOYSA-N";"InChI=1S/C29H31N3O3/c1-21-28(22-5-11-25(33)12-6-22)30-32(24-9-13-26(34)14-10-24)29(21)23-7-15-27(16-8-23)35-20-19-31-17-3-2-4-18-31/h5-16,33-34H,2-4,17-20H2,1H3";"False";"-1";"['MPP', 'SID11114257', 'MPP', '23, MPP', '91; MPP']";"['4-[1-(4-hydroxyphenyl)-4-methyl-5-{4-[2-(piperidin-1-yl)ethoxy]phenyl}-1H-pyrazol-3-yl]phenol', 'SID11114257', "4,4'-(4-methyl-5-(4-(2-(piperidin-1-yl)ethoxy)phenyl)-1H-pyrazole-1,3-diyl)diphenol", "4,4'-(4-methyl-5-(4-(2-(piperidin-1-yl)ethoxy)phenyl)-1H-pyrazole-1,3-diyl)diphenol", "4,4'-(4-methyl-5-(4-(2-(piperidin-1-yl)ethoxy)phenyl)-1H-pyrazole-1,3-diyl)diphenol"]"
"CHEMBL5613624";"";"";"";"";"503.71";"4";"5";"5.58";"53.60";"5";"2";"2";"9";"N";"0.40";"3";"MOL";"-1";"36";"-0.76";"C30H37N3O2S";"O=C(NCCC1CCN(Cc2ccccc2)CC1)c1ccc(-c2ccccc2OC2CCNCC2)s1";"NKLYSISRUMBCPI-UHFFFAOYSA-N";"InChI=1S/C30H37N3O2S/c34-30(32-19-12-23-15-20-33(21-16-23)22-24-6-2-1-3-7-24)29-11-10-28(36-29)26-8-4-5-9-27(26)35-25-13-17-31-18-14-25/h1-11,23,25,31H,12-22H2,(H,32,34)";"False";"-1";"['51']";"['N-(2-(1-benzylpiperidin-4-yl)ethyl)-5-(2-(piperidin-4-yloxy)phenyl)thiophene-2-carboxamide']"
"CHEMBL5612846";"";"";"";"";"412.94";"4";"5";"5.45";"50.36";"4";"2";"1";"5";"N";"0.59";"3";"MOL";"-1";"28";"-1.06";"C22H21ClN2O2S";"O=C(Nc1ccc(Cl)cc1)c1ccc(-c2cccc(OC3CCNCC3)c2)s1";"DYDZKIHPFAIIAT-UHFFFAOYSA-N";"InChI=1S/C22H21ClN2O2S/c23-16-4-6-17(7-5-16)25-22(26)21-9-8-20(28-21)15-2-1-3-19(14-15)27-18-10-12-24-13-11-18/h1-9,14,18,24H,10-13H2,(H,25,26)";"False";"-1";"['54']";"['N-(4-chlorophenyl)-5-(3-(piperidin-4-yloxy)phenyl)thiophene-2-carboxamide']"
"CHEMBL4743737";"";"";"Unknown";"";"509.74";"3";"8";"7.04";"27.74";"4";"1";"2";"12";"N";"0.27";"3";"MOL";"-1";"38";"-0.77";"C34H43N3O";"CC/C(=C(/c1ccc(NCCN2CCCC2)cc1)c1ccc(OCCN2CCCC2)cc1)c1ccccc1";"NMZVJUBMFDYEMH-JEIPZWNWSA-N";"InChI=1S/C34H43N3O/c1-2-33(28-10-4-3-5-11-28)34(29-12-16-31(17-13-29)35-20-25-36-21-6-7-22-36)30-14-18-32(19-15-30)38-27-26-37-23-8-9-24-37/h3-5,10-19,35H,2,6-9,20-27H2,1H3/b34-33+";"False";"-1";"['28']";"['(E)-4-(2-phenyl-1-(4-(2-(pyrrolidin-1-yl)ethoxy)phenyl)but-1-enyl)-N-(2-(pyrrolidin-1-yl)ethyl)aniline']"
"CHEMBL4278533";"";"";"Small molecule";"";"293.45";"9";"22";"3.62";"29.54";"3";"0";"0";"4";"N";"0.74";"0";"MOL";"-1";"21";"0.71";"C18H31NO2";"CC1(C)[C@H]2CC[C@]1(C)[C@H](OC(=O)CCN1CCCCC1)C2";"BMTQTMGZNRLSQL-HDMKZQKVSA-N";"InChI=1S/C18H31NO2/c1-17(2)14-7-9-18(17,3)15(13-14)21-16(20)8-12-19-10-5-4-6-11-19/h14-15H,4-13H2,1-3H3/t14-,15+,18+/m0/s1";"False";"-1";"['4', '14', '3b; As-358']";"['(1S,2R,4S)-1,7,7-trimethylbicyclo[2.2.1]heptan-2-yl 3-(piperidin-1-yl)propanoate', '(1S,2R,4S)-1,7,7-trimethylbicyclo[2.2.1]heptan-2-yl 3-(piperidin-1-yl)propanoate', '(1S,2R,4S)-1,7,7-trimethylbicyclo[2.2.1]heptan-2-yl 3-(piperidin-1-yl)propanoate']"
