PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,CC50 Modifier,CC50,CC50 Std Dev Modifier,CC50 Std Dev,CC50 Hill Slope,CC50 Normalized Chi2,Avg % Cell Viability @ 133.3 uM,Avg % Cell Viability @ 66.6 uM,Avg % Cell Viability @ 33.3 uM,Avg % Cell Viability @ 16.65 uM,Avg % Cell Viability @ 8.32 uM,Avg % Cell Viability @ 4.16 uM,Avg % Cell Viability @ 2.08 uM,Avg % Cell Viability @ 1.04 uM,Avg % Cell Viability @ 0.52 uM,Avg % Cell Viability @ 0.26 uM,Avg % Cell Viability @ 0.13 uM,Max % Viability,Max Viability Conc,Min % Viability,Min Viability Conc
RESULT_TYPE,,,,,,,,STRING,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,,,,,,,,,,,,,,,,,,Maximum % Viability observed across all concentrations.,Concentration at which Maximum % Viability was observed.,Minimum % Viability observed across all concentrations.,Concentration at which Minimum % Viability was observed.
RESULT_UNIT,,,,,,,,,MICROMOLAR,,NONE,NONE,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,MICROMOLAR,PERCENT,MICROMOLAR
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,
44,87218717,44537694,C1CCC2=NC3=C(C(N2CC1)O)C(=CC=C3)F,Inactive,0,,,,,,,,,76.68,81.26,83.43,80.61,85.03,79.73,82.28,79.54,84.77,79.86,,88.18,0.52,72.82,133.3
45,87225575,44543529,C1CC2=NC3=C(C=C(C=C3)I)C(N2C1)O,Inactive,0,,,,,,,,,88.91,102.21,98.81,102.69,98.56,101.23,100.3,102.41,91.69,99.04,,114.33,1.04,78.73,0.52
46,87218736,44537709,C1CC2=C(C1)C=C(C=C2)NC(=O)CSC3=NC4=C(C=C(C=C4)F)C(=O)N3C5=CC=CC=C5,Inactive,0,,,,,,,,,90.68,83.64,86.36,87.21,89.63,87.01,87.98,87.67,90.04,85.93,,95.54,2.08,80.52,66.65
47,87235612,44552569,C1CC2=C(C1)C=C(C=C2)NC(=O)CSC3=NC4=C(C(=CC=C4)F)C(=O)N3C5=CC=CC=C5,Inactive,0,,,,,,,,,75.7,79.92,73.7,80.58,82.99,82.36,77.57,88.72,84.2,92.25,,100.4,1.04,70.3,33.33
48,85285656,730195,CC1=CC2=C(C=C1)N=C3CCCN3C2=O,Inactive,0,,,,,,,,,,92.18,92.76,89.11,90.63,94,90.11,92.39,93.48,92.22,87.36,101.62,0.26,84.33,0.13
49,85248342,5136400,C1CC2=NC3=C(C=C(C=C3)N)C(=O)N2C1,Inactive,0,,,,,,,,,,94.95,98,93.48,94.81,98.45,92.45,95.38,98.83,94.63,96.56,107.69,33.3,87.99,1.04
50,85285661,12344018,CC1=C2C(=CC=C1)C(=O)N3CCCC3=N2,Inactive,0,,,,,,,,,,92.35,94.34,89.98,91.62,89.6,90.85,86.67,86.58,86.32,88.42,101.45,33.3,77.88,0.52
51,85285659,16750009,C1CC2=NC3=C(C=CC=C3Cl)C(=O)N2C1,Inactive,0,,,,,,,,,,81.86,83.28,82.23,81.23,84.59,81.08,82.36,80.46,81.78,77.33,87.85,4.16,74.96,8.32
52,85285664,16750011,C1CC2=NC3=C(C(=CC=C3)F)C(=O)N2C1,Inactive,0,,,,,,,,,,103.22,98.52,103.97,97.5,101.54,104.64,102.8,102.68,106.29,99.3,113.97,4.16,88.46,8.32
53,85248330,2400430,C1CC2=NC3=C(C=C(C=C3Cl)Cl)C(=O)N2C1,Inactive,0,,,,,,,,,,87.17,99.08,90.55,95.96,95.05,98,92.23,93.58,91.16,89.83,104.69,8.32,74.69,16.65
54,85256214,928447,C1CC2=NC3=C(C=C(C=C3)[N+](=O)[O-])C(=O)N2C1,Inactive,0,,,,,,,,,,97.11,101.59,95.63,104.61,100.64,101.92,99.87,98.04,97.69,104,116.36,0.13,85.34,16.65
55,85248325,2347122,COC1=CC=CC=C1NC(=O)CSC2=NC3=CC=CC=C3C(=O)N2C4=CC=C(C=C4)F,Inactive,0,,,,,,,,,,76.64,91.57,101.64,107.15,97.36,106.54,104.13,103.31,97.62,97.98,120.49,16.65,70.15,66.6
56,85248327,2357575,COC1=CC=C(C=C1)NC(=O)CSC2=NC3=CC=CC=C3C(=O)N2C4=CC=C(C=C4)F,Inactive,0,,,,,,,,,,83.57,86.55,91.83,95.28,93.55,96.13,91.93,98.44,92.26,95,106.21,2.08,73.45,66.6
57,85248331,4359800,CC1CC(CN(C1)C(=O)CSC2=NC3=CC=CC=C3C(=O)N2C4=CC=C(C=C4)F)C,Inactive,0,,,,,,,,,,87.96,87.55,85.61,92.37,85.38,85.84,90.45,85.99,93.03,90.52,102.34,0.26,74.79,16.65
58,85248339,3355925,C1COC2=C(O1)C=CC(=C2)NC(=O)CSC3=NC4=CC=CC=C4C(=O)N3C5=CC=C(C=C5)F,Inactive,0,,,,,,,,,,81.49,82.16,83.87,86.82,93.89,95.9,93.86,93.29,93.52,89.58,102.84,2.08,76.93,33.3
59,85735951,1172659,COC1=CC=C(C=C1)C2=CSC(=N2)N(CC3=CC=CC=C3)C(=O)C4=CC=CC=C4Cl,Inactive,0,,,,,,,,,,85.49,86.41,86.2,91.53,92.11,89.45,89.1,91.45,90.01,90.92,96.69,0.13,83,33.3
60,85735952,44459949,CCCCN(C1=NC(=CS1)C2=CC=C(C=C2)OC)C(=O)C3=CC=CC=C3Cl,Inactive,0,,,,,,,,,,79.3,82.52,87.76,87.06,87.6,88.59,90.34,90.46,89.32,93.53,98.01,2.08,77.65,66.6
61,85285602,1172622,CN(C1=NC(=CS1)C2=CC=C(C=C2)OC)C(=O)C3=CC=CC=C3Cl,Inactive,0,,,,,,,,,,82.98,88.99,88.73,102.86,102.67,100.58,102.24,107.56,96.45,94.11,114.26,1.04,72.93,16.65
62,85735953,44459950,CCCN(C1=NC(=CS1)C2=CC=C(C=C2)OC)C(=O)C3=CC=CC=C3Cl,Inactive,0,,,,,,,,,,77.4,84.24,87.07,85.6,91.08,94.66,89.03,86.41,87.11,84.75,102.43,2.08,71.49,0.13
63,85285603,44251472,COC1=CC=C(C=C1)C2=CSC(=N2)N(CCCBr)C(=O)C3=CC=CC=C3Cl,Inactive,0,,,,,,,,,,77.12,82.55,88.5,85.02,94.3,81.07,94.96,87.04,96.49,90.46,110.7,0.26,72.49,66.6
64,85735956,12603615,CC(=O)NC1=CC2=C(C=C1)N=C3CCCN3C2=O,Inactive,0,,,,,,,,,,92.8,89.9,91.15,85.9,86.57,87.79,89.71,85.69,87.85,82.78,103.1,66.6,77.35,8.32
65,85285657,730208,C1CC2=NC3=C(C=C(C=C3)I)C(=O)N2C1,Inactive,0,,,,,,,,,,79.25,83.6,91.3,88.64,89.58,89.44,90.61,89.67,89.42,85.51,97.35,16.65,74.18,66.6
66,85285662,44251478,CC1(C2=C(C=CC(=C2)Br)N=C3N1CCC3)O,Inactive,0,,,,,,,,,,92.67,92.94,97.63,95.01,99.02,91.63,89.13,92.26,92.42,88.44,105.23,4.16,82.66,66.6
67,85285663,23273997,CC1=C2C(=CC=C1)N=C3CCCN3C2=O,Inactive,0,,,,,,,,,,99.8,99.72,99.87,97.35,96.98,98.89,96.09,104.51,95.13,93.25,113.07,0.52,85.77,1.04
68,85285658,45100463,C1CC2=NC3=C(C=C(C=C3)[N+](=O)[O-])C(N2C1)O,Inactive,0,,,,,,,,,,86.26,83.34,78.56,81.96,81.41,86.19,81.2,86.79,83.41,84.18,101.55,2.08,71.26,16.65
