PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,IC50 Modifier,IC50,IC50 Std Dev Modifier,IC50 Std Dev,IC50 Hill Slope,IC50 NormChi2,Max % CPE Inhibition,Conc @ Max % CPE Inhibition,Average % CPE Inhibition @ 133.3 uM,Average % CPE Inhibition @ 66.6 uM,Average % CPE Inhibition @ 33.3 uM,Average % CPE Inhibition @ 16.65 uM,Average % CPE Inhibition @ 8.32 uM,Average % CPE Inhibition @ 4.16 uM,Average % CPE Inhibition @ 2.08 uM,Average % CPE Inhibition @ 1.04 uM,Average % CPE Inhibition @ 0.52 uM,Average % CPE Inhibition @ 0.26 uM,Average % CPE Inhibition @ 0.13 uM
48,85285661,12344018,CC1=C2C(=CC=C1)C(=O)N3CCCC3=N2,Inactive,0,,,,,,,,,18.39,1.04,,-4.01,-4.12,-2.48,-5.42,0.22,-12.73,1.43,-3.35,-5.01,-7.24
49,85285659,16750009,C1CC2=NC3=C(C=CC=C3Cl)C(=O)N2C1,Inactive,0,,,,,,,,,11.82,0.52,,-11.76,-8.49,-10.78,-8.71,-15.27,3.05,-6.07,-3.06,-8.15,-5.13
50,85285664,16750011,C1CC2=NC3=C(C(=CC=C3)F)C(=O)N2C1,Inactive,0,,,,,,,,,24.34,2.08,,-5.78,10.12,-10.83,0.43,-10.91,7.08,-9.82,-1.98,0,-1.16
51,85248330,2400430,C1CC2=NC3=C(C=C(C=C3Cl)Cl)C(=O)N2C1,Inactive,0,,,,,,,,,9.5,0.26,,-11.73,-20.98,-5.76,-8.74,-5.55,-21.82,-11.95,-13.98,-1.94,-9.34
52,85256214,928447,C1CC2=NC3=C(C=C(C=C3)[N+](=O)[O-])C(=O)N2C1,Inactive,0,,,,,,,,,16.19,66.6,,-0.71,0.07,-1.16,-16.41,-11.01,-19.66,-4.02,-1.9,0.22,-7.76
53,85248325,2347122,COC1=CC=CC=C1NC(=O)CSC2=NC3=CC=CC=C3C(=O)N2C4=CC=C(C=C4)F,Inactive,0,,,,,,,,,29.98,66.6,,15.2,-9.13,-12.22,-33.78,-7.75,-1.81,-6.46,-14.44,0.12,-14.04
54,85248331,4359800,CC1CC(CN(C1)C(=O)CSC2=NC3=CC=CC=C3C(=O)N2C4=CC=C(C=C4)F)C,Inactive,0,,,,,,,,,15.73,4.16,,-17.07,-5.31,-7.19,-8.58,-8.53,-8.26,-20.41,1.44,-23.02,-9.29
55,85248334,2513861,C1CC2=C(C1)C=C(C=C2)NC(=O)CSC3=NC4=CC=CC=C4C(=O)N3C5=CC(=C(C=C5)F)Cl,Inactive,0,,,,,,,,,23.76,16.65,,-0.76,2.28,13.26,-0.06,9.97,-2.85,-6.39,-19.82,-6.53,-7.7
56,85248335,4831588,C1CC2=C(C1)C=C(C=C2)NC(=O)CSC3=NC4=CC=CC=C4C(=O)N3C5=CC(=C(C=C5)Cl)Cl,Inactive,0,,,,,,,,,13.28,2.08,,-27.22,-22.32,-13.34,-2.38,0.47,8.12,-6.53,-6.56,-16.19,-10.02
57,85248337,2557019,C1CC2=C(C1)C=C(C=C2)NC(=O)CSC3=NC4=CC=CC=C4C(=O)N3C5=CC=CC=C5,Inactive,0,,,,,,,,,19.52,0.52,,-9.34,-4.23,-12.5,8.72,-2.99,2.29,-4.88,8.83,-14.31,-8.85
58,85248338,3568329,C1=CC=C2C(=C1)C=CC=C2NC(=O)CSC3=NC4=CC=CC=C4C(=O)N3C5=CC=C(C=C5)F,Inactive,0,,,,,,,,,17.82,1.04,,-2.62,-13.35,-0.25,-26.26,-0.85,-12.74,4.34,-9.32,-12.26,-14.05
59,85248339,3355925,C1COC2=C(O1)C=CC(=C2)NC(=O)CSC3=NC4=CC=CC=C4C(=O)N3C5=CC=C(C=C5)F,Inactive,0,,,,,,,,,13.28,0.52,,-20.29,-12.12,-14.82,-8.61,-6.24,-4.66,-15.86,-0.03,-7.72,-3.01
60,85735951,1172659,COC1=CC=C(C=C1)C2=CSC(=N2)N(CC3=CC=CC=C3)C(=O)C4=CC=CC=C4Cl,Inactive,0,,,,,,,,,27.09,16.65,,16.76,-6.45,10.68,-6.06,7.58,-11.46,11.31,-11.03,1.19,-7.89
61,85285602,1172622,CN(C1=NC(=CS1)C2=CC=C(C=C2)OC)C(=O)C3=CC=CC=C3Cl,Inactive,0,,,,,,,,,18.9,0.26,,-57.3,-81.64,-91.7,-111.02,-64.42,-54.33,-20.36,-21.41,-3.08,-16.97
62,85735953,44459950,CCCN(C1=NC(=CS1)C2=CC=C(C=C2)OC)C(=O)C3=CC=CC=C3Cl,Inactive,0,,,,,,,,,10.29,66.6,,1.7,-16.34,-1.68,-24.12,-2.92,-14.63,-4.6,-7.51,-5.3,-5.05
63,85735955,44459952,C\1CN2C(=NC3=C(C2=O)C=C(C=C3)Br)/C1=C\C4=CC=CC=C4,Inactive,0,,,,,,,,,18.46,0.26,,-43.2,-97.18,-53.4,-40.26,-10.86,-3.95,-9.58,-18.97,6.3,-22.4
64,85735956,12603615,CC(=O)NC1=CC2=C(C=C1)N=C3CCCN3C2=O,Inactive,0,,,,,,,,,14.04,0.13,,-33.17,-19.37,-19.24,-4.75,-29.36,-1.83,-17.6,3.58,-4.92,-0.2
65,85285657,730208,C1CC2=NC3=C(C=C(C=C3)I)C(=O)N2C1,Inactive,0,,,,,,,,,15.83,0.13,,-48.38,-29.36,-19.03,-17.68,-6.85,-1.44,-19.08,-7.08,-13.06,-6.05
66,85285662,44251478,CC1(C2=C(C=CC(=C2)Br)N=C3N1CCC3)O,Inactive,0,,,,,,,,,17.58,0.26,,-18.01,-12.46,-13.04,-1.88,-6.52,-3.39,-9.27,9.88,-3.62,3.55
67,85285663,23273997,CC1=C2C(=CC=C1)N=C3CCCN3C2=O,Inactive,0,,,,,,,,,16.25,4.16,,-1.93,-6.29,-13.72,-11.23,1.64,-18.63,-6.21,-16.35,0.77,-8.15
68,85285658,45100463,C1CC2=NC3=C(C=C(C=C3)[N+](=O)[O-])C(N2C1)O,Inactive,0,,,,,,,,,18.02,0.26,,-4.15,-24.57,0.56,-14.84,0.16,-3.12,-0.17,-15.98,1.81,-11.01
