PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Average IC50,IC50 Test 1,IC50 Test 2,% Inhibition @ 50 uM Test 1,% Inhibition @ 25 uM Test 1,% Inhibition @ 12.5 uM Test 1,% Inhibition @ 6.25 uM Test 1,% Inhibition @ 3.125 uM Test 1,% Inhibition @ 1.563 uM Test 1,% Inhibition @ 1.25 uM Test 1,% Inhibition @ 0.781 uM Test 1,% Inhibition @ 0.625 uM Test 1,% Inhibition @ 0.391 uM Test 1,% Inhibition @ 0.313 uM Test 1,% Inhibition @ 0.195 uM Test 1,% Inhibition @ 0.156 uM Test 1,% Inhibition @ 0.078 uM Test 1,% Inhibition @ 0.039 uM Test 1,% Inhibition @ 0.02 uM Test 1,% Inhibition @ 0.01 uM Test 1,% Inhibition @ 0.005 uM Test 1,% Inhibition @ 25 uM Test 2,% Inhibition @ 12.5 uM Test 2,% Inhibition @ 6.25 uM Test 2,% Inhibition @ 3.125 uM Test 2,% Inhibition @ 1.563 uM Test 2,% Inhibition @ 0.781 uM Test 2,% Inhibition @ 0.625 uM Test 2,% Inhibition @ 0.391 uM Test 2,% Inhibition @ 0.313 uM Test 2,% Inhibition @ 0.195 uM Test 2,% Inhibition @ 0.156 uM Test 2,% Inhibition @ 0.078 uM Test 2,% Inhibition @ 0.039 uM Test 2,% Inhibition @ 0.02 uM Test 2,% Inhibition @ 0.01 uM Test 2,% Inhibition @ 0.005 uM Test 2,% Inhibition @ 25 uM Test 3,% Inhibition @ 12.5 uM Test 3,% Inhibition @ 6.25 uM Test 3,% Inhibition @ 3.125 uM Test 3,% Inhibition @ 1.563 uM Test 3,% Inhibition @ 0.781 uM Test 3,% Inhibition @ 0.625 uM Test 3,% Inhibition @ 0.391 uM Test 3,% Inhibition @ 0.313 uM Test 3,% Inhibition @ 0.195 uM Test 3,% Inhibition @ 0.156 uM Test 3,% Inhibition @ 0.078 uM Test 3,% Inhibition @ 0.039 uM Test 3,% Inhibition @ 0.02 uM Test 3,% Inhibition @ 0.01 uM Test 3,% Inhibition @ 0.005 uM Test 3,Verification
7,144087341,60156249,CCN1CCN(CC1)CC2=NC3=C(C=C(C=C3)C#N)C(=O)N2C4=CC=CC=C4,Inactive,0,,,,,,,-0.5,-0.9,-0.6,-0.4,-1.1,,0,,-0.2,,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verified
8,144087342,60156251,CCN1CCN(CC1)CC2=NC3=C(C=C(C=C3)S(=O)(=O)O)C(=O)N2C4=CC=CC=C4,Inactive,0,,,,,,,-0.2,-0.2,-0.8,-0.5,-1.1,,-0.2,,0.4,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verified
9,144087343,60156252,C1=CC=C(C=C1)COC2=CC=C(C=C2)NC3=NC(=O)C4=C(S3)N=CC(=C4)[N+](=O)[O-],Inactive,0,,,,,,,-1,1,0.9,-0.1,-0.3,,-0.4,,-0.9,,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verified
10,144087344,60156250,C1=CC=C(C=C1)COC2=CC=C(C=C2)NC3=NC(=O)C4=C(S3)N=CC(=C4)F,Active,98,,,3.65,3.65,,,81.9,79,79.8,36.2,10.2,,1.7,,0.6,,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verified
11,144087345,60156248,CCN1CCN(CC1)C2=NC3=C(C=C(C=C3)[N+](=O)[O-])C(=O)N2C4=CC=CC=C4,Inactive,0,,,,,,,-1.4,-0.3,-0.7,-1.4,-1.2,,-0.7,,-0.3,,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verified
12,144087346,60156247,C1=CC=C(C=C1)COC2=CC=CC=C2NC3=NC(=O)C4=C(S3)N=CC=C4,Inactive,0,,,,,,,-1,0.8,0.6,-0.3,-1.2,,-0.7,,0.3,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verified
13,144087347,60156245,C1=CC2=C(N=C1)SC(=NC2=O)NC3=CC=C(C=C3)F,Inactive,0,,,,,,,0.9,-0.2,-0.4,-0.5,0.2,,-1.2,,-0.6,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verified
14,144087348,60156246,CC1=C(C(=CC=C1)C)NC2=NC(=O)C3=C(S2)N=CC=C3,Inactive,0,,,,,,,-0.7,0.9,0.8,0.6,0.2,,0.1,,0.4,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verified
15,144108863,60161473,CCN1CCN(CC1)CC2=NC3=C(C=C(C=C3)[N+](=O)[O-])C(=O)N2CC4=CC=CC=C4,Inactive,0,,,,,,5.3,-0.7,-0.2,-0.1,0.4,0.3,,0.2,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verified
16,144108864,60161475,C1CNCCC1NC2=NC(=O)C3=C(S2)N=CC=C3,Inactive,0,,,,,,,-0.4,-0.9,-0.4,0.1,-0.2,,-0.8,,0.5,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verified
17,144108865,60161474,C1CN(CCN1CC2=CC=CC=C2)C3=NC(=O)C4=C(S3)N=CC=C4,Inactive,0,,,,,,,1.8,-0.5,-0.5,0.1,0.2,,0.3,,0.4,,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verified
18,144186569,60182255,C1CNCCN(C1)CC2=NC3=C(C=C(C=C3)[N+](=O)[O-])C(=O)N2C4=CC=CC=C4,Inactive,0,,,,,,4.1,0.6,0.1,0.3,-0.6,-0.1,0.5,-0.3,-0.1,-0.1,-0.3,,-0.3,0,-0.3,0,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verified
19,150864356,65389144,CCN1CCN(CC1)CC2=NC3=C(C=C(C=C3)C4=NNN=N4)C(=O)N2C5=CC=CC=C5,Inactive,0,,,,,,0.6,0.8,0.1,0,0.3,1,,0.4,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verified
20,150864357,71301446,CN1CCN(C(=NC2=C(C=C(C(=C2)Cl)C#N)C(=O)NC3=CC=CC=C3)C1)C,Inactive,0,,,,,,2.9,2,0.3,0.5,-0.1,-0.1,,-0.2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verified
21,150864358,71301448,CCN1CCN(CC1=NC2=C(C=C(C=C2)[N+](=O)[O-])C(=O)NC3=CC=CC=C3)C,Inactive,0,,,,,,1.7,1.8,0.8,0.2,0.2,0.4,,0.7,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verified
22,150864359,5018304,C1=CC=C(C(=C1)CC(=O)[O-])NC2=C(C=CC=C2Cl)Cl.[Na+],Inactive,0,,,,,,12.3,4.4,2.9,0.7,0.3,1.2,,0.2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verified
23,150864360,65389147,CNCCCN(C)CC1=NC2=C(C=C(C=C2)[N+](=O)[O-])C(=O)N1C3=CC=CC=C3,Inactive,0,,,,,,0.8,0.7,0.7,0.2,0.5,0,,0.4,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verified
24,150864361,71301447,CN1CCN(C(=NC2=C(C=C(C=C2)F)C(=O)NC3=CC=CC=C3)C1)C,Inactive,0,,,,,,2.2,0.9,1.2,0.2,0.1,0.1,,0.7,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verified
25,152138454,66545952,C1CN(CC(=O)N1)CC2=NC3=C(C=C(C=C3)[N+](=O)[O-])C(=O)N2C4=CC=CC=C4F,Inactive,0,,,,,,1.2,-0.2,-0.1,-0.1,-0.2,0,2.2,-0.1,-0.4,1,-0.2,,-0.5,1.7,-0.3,-0.6,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verified
26,152138455,66545951,CNCCN(C)CC1=NC2=C(C=C(C=C2)C#N)C(=O)N1C3=CC=CC=C3F,Inactive,0,,,,,,6.3,0.1,-0.3,-0.4,0.6,-0.1,0.3,-0.2,-0.4,1.3,-0.3,,-0.2,-0.7,-0.4,-0.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verified
27,152138456,13228318,CCN(CC)C1=NC(=O)C2=C(S1)N=CC=C2,Inactive,0,,,,,,-5.8,-5.7,-6.2,-5.4,-6,-6.1,3.9,-6.5,-5.5,-6.1,-4.9,,-5.3,-6.8,-6.4,-6.6,-4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verified
28,152138457,941565,COC1=CC=C(C=C1)NC2=NC(=O)C3=C(S2)N=CC=C3,Inactive,0,,,,,,-5.2,-6.3,-5.7,-6.3,-5.5,-6.1,-4.4,-6.7,-5,-5.2,-6.4,,-5.7,-6.1,-5.9,-6.3,-6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verified
29,152138458,66545950,C1=CC=C(C=C1)CCC2=CC=C(C=C2)NC3=NC(=O)C4=C(S3)N=CC=C4,Inactive,0,,,,,,44,15.4,-4.7,-5.1,-6.4,-6.2,-3.4,-6.1,-5.8,-5.5,-5.9,,-5.9,-6.1,-6.7,-5.7,-4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verified
30,152138459,71301449,CN1CCN(C(=NC2=C(C=C(C=C2)C#N)C(=O)NC3=CC(=CC=C3)F)C1)C,Inactive,0,,,,,,3.5,0.4,-0.2,-0.4,-0.6,0.3,0.9,-0.1,-0.6,0,-0.2,,-0.3,-0.4,0.3,0.2,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verified
