PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.00295 uM,Activity at 0.015 uM,Activity at 0.074 uM,Activity at 0.369 uM,Activity at 1.843 uM,Activity at 9.217 uM,Activity at 46.08 uM,Compound QC
RESULT_TYPE,,,,,,,,STRING,FLOAT,FLOAT,STRING,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING
RESULT_DESCR,,,,,,,,"Indicates type of activity observed: inhibitor, activator, fluorescent, cytotoxic, inactive, or inconclusive.","Concentration at which compound exhibits half-maximal efficacy, AC50. Extrapolated AC50s also include the highest efficacy observed and the concentration of compound at which it was observed.","Maximal efficacy of compound, reported as a percentage of control. These values are estimated based on fits of the Hill equation to the dose-response curves.",Annotation/notes on a particular compound's data or its analysis.,"A description of dose-response curve quality. A complete curve has two observed asymptotes; a partial curve may not have attained its second asymptote at the highest concentration tested. High efficacy curves exhibit efficacy greater than 80% of control. Partial efficacies are statistically significant, but below 80% of control.",The logarithm of the AC50 from a fit of the data to the Hill equation (calculated based on Molar Units).,The Hill slope from a fit of the data to the Hill equation.,R^2 fit value of the curve. Closer to 1.0 equates to better Hill equation fit.,The asymptotic efficacy from a fit of the data to the Hill equation.,Efficacy at zero concentration of compound from a fit of the data to the Hill equation.,Numerical encoding of curve description for the fitted Hill equation.,"Which dose-response titration points were excluded from analysis based on outlier analysis. Each number represents whether a titration point was (1) or was not (0) excluded, for the titration series going from smallest to highest compound concentrations.",Maximum activity observed for compound (usually at highest concentration tested).,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,"NCGC designation for data stage: 'qHTS', 'qHTS Verification', 'Secondary Profiling'"
RESULT_UNIT,,,,,,,,NONE,MICROMOLAR,PERCENT,NONE,NONE,NONE,NONE,NONE,PERCENT,PERCENT,NONE,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,NONE
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,
RESULT_ATTR_CONC_MICROMOL,,,,,,,,,,,,,,,,,,,,,0.00294931,0.0147465,0.0737327,0.368664,1.84332,9.21659,46.0829,
1,50106811,9829825,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@H]2C[C@H]([C@@]3([C@H]4[C@@H](C[C@@]5([C@H](CC[C@@]5(C4CC[C@@]3(C2)O)O)C6=CC(=O)OC6)C)O)CO)O)O)O)O,Active,93,,,Inhibitor,0.1,91.4516,,Complete curve; high efficacy,-7,2.4064,0.9938,-100.06,-8.6088,-1.1,0 0 0 0 0 0 0,-100.975,-13.954,-3.6364,-38.8952,-96.5189,-97.3287,-101.088,-100.975,QC'd by SigmaAldrich
2,50106243,3068143,CC[C@H]1CN2CCC3=CC(=C(C=C3[C@@H]2C[C@@H]1C[C@@H]4C5=CC(=C(C=C5CCN4)OC)OC)OC)OC.Cl.Cl,Active,91,,,Inhibitor,0.1585,94.8285,,Complete curve; high efficacy,-6.8,1.2876,0.9931,-96.5999,-1.7714,-1.1,0 0 0 0 0 0 0,-97.2975,-8.0477,0.4164,-28.2549,-71.2794,-92.9647,-95.97,-97.2975,QC'd by SigmaAldrich
3,50106134,2733504,C1=CC=C2C(=C1)C3=CC=CC=C3[I+]2.[Cl-],Active,91,,,Inhibitor,0.2512,111.567,,Complete curve; high efficacy,-6.6,0.8,0.9839,-100.642,10.9256,-1.1,0 0 0 0 0 0 0,-95.1599,8.0457,3.1721,-26.0804,-44.2103,-88.9086,-96.0077,-95.1599,QC'd by SigmaAldrich
4,50103918,5282230,COC1=C(C=C(C=C1)/C=C/C(=O)NC2=CC=CC=C2C(=O)O)OC,Active,87,,,Inhibitor,2.8184,96.8348,,Complete curve; high efficacy,-5.55,0.9,0.9668,-126.14,-29.3055,-1.1,0 0 0 0 0 0 0,-116.482,-30.9286,-19.234,-44.198,-41.0035,-66.4911,-105.172,-116.482,QC'd by SigmaAldrich
5,50105902,11957469,C[C@H]1CCC/C=C/C2C[C@@H](C[C@]2(C/C=C/C(=O)O1)O)O,Active,87,,,Inhibitor,1.122,90.8399,,Complete curve; high efficacy,-5.95,4.9549,0.9723,-90.8399,0,-1.1,0 0 0 0 0 0 0,-90.6482,-11.6538,-5.0503,1.7181,14.2948,-82.8004,-92.6296,-90.6482,QC'd by SigmaAldrich
6,50106088,62920,CC(=O)O[C@@H]1[C@@H](SC2=CC=CC=C2N(C1=O)CCN(C)C)C3=CC=C(C=C3)OC.Cl,Active,86,,,Inhibitor,1.4125,89.5479,,Complete curve; high efficacy,-5.85,3.0654,0.97,-84.2402,5.3077,-1.1,1 0 0 0 0 0 0,-93.6424,20.8617,-1.8701,3.985,12.5109,-56.459,-74.3059,-93.6424,QC'd by SigmaAldrich
7,50106118,24867490,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@H]2C[C@H]([C@@]3([C@@H]4[C@@H](CC[C@@]3(C2)O)[C@]5(CC[C@@H]([C@]5(C[C@H]4O)C)[C@H]6CC(=O)OC6)O)CO)O)O)O)O,Active,86,,,Inhibitor,1.5849,88.8784,,Complete curve; high efficacy,-5.8,1.9673,0.9753,-97.9157,-9.0373,-1.1,0 0 0 0 0 0 0,-98.3321,-19.6737,-11.8158,2.0819,-10.447,-61.5922,-94.4776,-98.3321,QC'd by SigmaAldrich
8,50107012,68635,C[N+]1=C2C(=C3C=CC4=C(C3=C1)OCO4)C=CC5=CC6=C(C=C52)OCO6.[Cl-],Active,86,,,Inhibitor,1.9953,102.913,,Complete curve; high efficacy,-5.7,1.8265,0.9853,-97.4866,5.4261,-1.1,0 0 0 0 0 0 0,-94.1306,3.5874,-4.1008,13.7181,3.8935,-41.5411,-94.8041,-94.1306,QC'd by SigmaAldrich
9,50107203,5614,CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)C=C(C#N)C#N,Active,85,,,Inhibitor,2.5119,92.7453,,Complete curve; high efficacy,-5.6,2.7202,0.91,-89.752,2.9933,-1.1,0 0 0 0 0 0 0,-91.7554,3.7701,-18.029,-0.7332,27.9767,-25.5111,-85.5671,-91.7554,QC'd by SigmaAldrich
10,50107213,24867540,CCCCCCCC(=O)O[C@@H]1[C@H](C(=C2C1[C@@](C[C@H]([C@]3([C@H]2OC(=O)[C@@]3(C)O)O)OC(=O)CCC)(C)OC(=O)C)C)OC(=O)/C(=C\C)/C,Active,85,,,Inhibitor,3.1623,86.5386,,Complete curve; high efficacy,-5.5,1.21,0.9745,-99.3746,-12.836,-1.1,0 0 0 0 0 0 0,-97.3772,-11.6706,-7.8166,-24.5427,-12.3919,-44.5119,-78.8943,-97.3772,QC'd by SigmaAldrich
11,50106712,4477,C1=CC(=C(C=C1[N+](=O)[O-])Cl)NC(=O)C2=C(C=CC(=C2)Cl)O,Active,84,,,Inhibitor,5.0119,108.45,,Complete curve; high efficacy,-5.3,4.9549,0.9613,-103.625,4.8249,-1.1,0 0 0 1 0 0 0,-101.934,-8.3685,-5.7139,18.6874,78.4871,14.9249,-100.072,-101.934,QC'd by SigmaAldrich
12,50104896,262093,C1=CC=C2C(=C1)C(=O)C(=C(C2=O)SCCO)SCCO,Active,84,,,Inhibitor,5.0119,90.6728,,Complete curve; high efficacy,-5.3,4.9549,0.9669,-87.5207,3.1522,-1.1,0 0 0 0 0 0 0,-84.1139,-6.0549,-0.6563,1.2029,3.3733,18.5664,-86.5057,-84.1139,QC'd by SigmaAldrich
13,50107164,5712,C1=CC=C(C=C1)CN2C3=CC=CC=C3C(=N2)C4=CC=C(O4)CO,Active,84,,,Inhibitor,4.4668,80.3036,,Complete curve; high efficacy,-5.35,2.3031,0.9563,-83.0228,-2.7192,-1.1,1 0 0 0 0 0 0,-82.7017,37.7946,-15.1849,-1.5068,9.4902,-13.7389,-69.8768,-82.7017,QC'd by SigmaAldrich
14,50106195,11957527,C[C@@H]1OC[C@@H]2[C@@](O1)(C[C@H]([C@@H](O2)O[C@H]3[C@H]4COC(=O)[C@@H]4[C@@H](C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O,Active,84,,,Inhibitor,3.9811,91.6887,,Complete curve; high efficacy,-5.4,2.0937,0.9926,-91.4484,0.2403,-1.1,0 0 0 0 0 0 0,-90.59,7.0069,1.0899,-4.0713,-3.1079,-14.2812,-78.7296,-90.59,QC'd by SigmaAldrich
15,50106049,99625,C1=CC=C(C=C1)C[C@@H](C(=O)CCl)NC(=O)OCC2=CC=CC=C2,Active,83,,,Inhibitor,6.3096,98.6528,,Complete curve; high efficacy,-5.2,4.095,0.9801,-87.4176,11.2353,-1.1,0 0 0 0 0 0 0,-88.2965,8.653,8.0961,3.8315,24.0561,11.1392,-69.1115,-88.2965,QC'd by SigmaAldrich
16,50106605,51082,C1=CC(=C2C(=C1NCCNCCO)C(=O)C3=C(C=CC(=C3C2=O)O)O)NCCNCCO.Cl.Cl,Active,66,,,Inhibitor,0.2818,60.6139,,Complete curve; partial efficacy,-6.55,4.5045,0.9019,-60.8149,-0.201,-1.2,0 0 0 0 0 0 0,-79.9316,-5.6864,7.0785,-1.9715,-46.9516,-53.541,-49.6338,-79.9316,QC'd by SigmaAldrich
17,50107149,9951825,C1=CC=C(C(=C1)N)S/C(=C(\C(=C(/SC2=CC=CC=C2N)\N)\C#N)/C#N)/N,Active,65,,,Inhibitor,0.7943,88.2494,,Complete curve; partial efficacy,-6.1,1.9282,0.9571,-67.2017,21.0476,-1.2,0 0 0 0 0 0 0,-73.5412,29.1303,27.7623,3.6499,7.012,-54.4761,-58.7073,-73.5412,QC'd by SigmaAldrich
18,50104850,5040063,CCCC1=C(N(N=C1C2=CC=C(C=C2)O)C3=CC=C(C=C3)O)C4=CC=C(C=C4)O,Active,64,,,Inhibitor,1.9953,70.5882,,Complete curve; partial efficacy,-5.7,0.9,0.9855,-70.531,0.0572,-1.2,0 0 0 0 0 0 0,-63.8235,-3.6274,0.6044,0.366,-15.5885,-30.5238,-59.3966,-63.8235,QC'd by SigmaAldrich
19,50106929,24867531,COC1=CC2=C(C=CN=C2C=C1)[C@H]([C@@H]3C[C@H]4CCN3C[C@H]4C=C)O.COC1=CC2=C(C=CN=C2C=C1)[C@H]([C@@H]3C[C@H]4CCN3C[C@H]4C=C)O.OS(=O)(=O)O,Active,46,,,Inhibitor,1.9953,96.3288,,Partial curve; partial efficacy,-5.7,0.5,0.9989,-93.5337,2.7951,-2.2,0 0 0 0 0 1 0,-77.3663,-0.4257,-4.7962,-12.4619,-27.5247,-42.8174,-18.0392,-77.3663,QC'd by SigmaAldrich
20,50106355,9853099,C1CC1CN2CC[C@]34[C@@H]5C6=C(C[C@]3([C@H]2CC7=C4C(=C(C=C7)O)O5)O)C8=C(N6)C=CC(=C8)N=C(N)N.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Active,46,,,Inhibitor,0.8913,80.5235,,Partial curve; partial efficacy,-6.05,0.9,0.9913,-76.4907,4.0328,-2.2,0 0 0 0 0 1 0,-74.1316,5.2123,3.1082,-8.6214,-17.1706,-50.1172,16.3448,-74.1316,QC'd by SigmaAldrich
21,50104781,11957499,C[C@@H]1CC[C@]2([C@@H](C[C@H]([C@H](O2)[C@H](C)C(=O)C3=CC=CN3)C)C)O[C@@H]1CC4=NC5=C(O4)C=CC(=C5C(=O)O)NC,Active,44,,,Inhibitor,7.0795,118.459,,Partial curve; high efficacy,-5.15,1.6266,0.9448,-123.178,-4.7196,-2.1,0 0 0 0 0 0 0,-111.989,6,-25.7153,-5.691,-1.1208,-8.941,-78.6688,-111.989,QC'd by SigmaAldrich
22,50106013,9868848,CC(C1=CC=CC=C1)(C2=CC=C(C=C2)Cl)OCCC3CCCN3C.C(=C/C(=O)O)\C(=O)O,Active,43,,,Inhibitor,10,95.9719,,Partial curve; high efficacy,-5,2.7202,0.9507,-102.443,-6.4714,-2.1,0 0 0 0 0 0 0,-100.649,-13.9143,-16.0728,-9.7073,7.2069,1.0963,-50.5635,-100.649,QC'd by SigmaAldrich
23,50107082,439647,CC1=CC=C(C=C1)S(=O)(=O)N[C@@H](CC2=CC=CC=C2)C(=O)CCl,Active,43,,,Inhibitor,7.0795,92.2014,,Partial curve; partial efficacy,-5.15,1.8851,0.9417,-86.8226,5.3788,-2.2,0 0 0 0 0 0 0,-79.6502,9.3651,-12.9243,9.3639,12.7745,2.0324,-54.0724,-79.6502,QC'd by SigmaAldrich
24,50106167,9853645,CC1=[N+](C2=CC=CC=C2C(=C1)N)CCCCCCCCCCCCCC[N+]3=C(C=C(C4=CC=CC=C43)N)C.[I-].[I-],Active,43,,,Inhibitor,7.0795,102.314,,Partial curve; high efficacy,-5.15,2.4064,0.9206,-93.8232,8.4905,-2.1,0 0 0 0 0 0 0,-90.9217,5.5947,11.6728,-14.0378,15.803,22.2847,-62.405,-90.9217,QC'd by SigmaAldrich
25,50106108,203135,CN1C2CCC1CC(C2)OC(C3=CC=CC=C3)C4=CC=C(C=C4)Cl.Cl,Active,43,,,Inhibitor,8.9125,104.77,,Partial curve; high efficacy,-5.05,2.4064,0.9701,-100.413,4.3577,-2.1,0 0 0 0 0 0 0,-97.2952,-0.9892,-6.8769,5.3805,11.6477,11.4012,-52.6395,-97.2952,QC'd by SigmaAldrich
26,50107017,6758,CC(=C)[C@H]1CC2=C(O1)C=CC3=C2O[C@@H]4COC5=CC(=C(C=C5[C@@H]4C3=O)OC)OC,Active,43,,,Inhibitor,5.6234,74.767,,Partial curve; partial efficacy,-5.25,1.21,0.9145,-82.2323,-7.4653,-2.2,0 0 0 0 0 0 0,-75.1936,-15.062,9.4596,-12.816,-16.6203,-18.5108,-58.7232,-75.1936,QC'd by SigmaAldrich
27,50105550,5770,CO[C@H]1[C@@H](C[C@@H]2CN3CCC4=C([C@H]3C[C@@H]2[C@@H]1C(=O)OC)NC5=C4C=CC(=C5)OC)OC(=O)C6=CC(=C(C(=C6)OC)OC)OC,Active,43,,,Inhibitor,7.9433,100.307,,Partial curve; high efficacy,-5.1,3.0654,0.9275,-93.1835,7.1232,-2.1,0 0 0 0 0 0 0,-93.4822,-9.5619,7.2987,-2.5436,12.8416,25.2375,-53.4078,-93.4822,QC'd by SigmaAldrich
28,50106617,11497466,CC1=C(C=CC(=C1)C2=NOC(=N2)C)C3=CC=C(C=C3)C(=O)NC4=CC(=C(C=C4)OC)N5CCN(CC5)C.Cl,Active,43,,,Inhibitor,7.9433,101.614,,Partial curve; high efficacy,-5.1,1.8851,0.9423,-103.779,-2.1652,-2.1,0 0 0 0 0 0 0,-100.016,4.5198,-21.628,-4.2124,8.2457,-3.5439,-61.159,-100.016,QC'd by SigmaAldrich
29,50105998,2545,CC12C3CCC(C1(C(=O)OC2=O)C)O3,Active,43,,,Inhibitor,10,104.669,,Partial curve; high efficacy,-5,2.0479,0.9616,-101.21,3.4591,-2.1,0 0 0 0 1 0 0,-96.3524,0.6464,-5.3798,-0.3261,18.9518,57.6052,-46.1158,-96.3524,QC'd by SigmaAldrich
30,50106799,11957658,CS(=O)(=O)O.C1CC1CN2CCC34[C@@H]5C6=C(C[C@]3(C2CC7=C4C(=C(C=C7)O)O5)O)C8=CC=CC=C8O6,Active,43,,,Inhibitor,7.9433,79.7569,,Partial curve; partial efficacy,-5.1,0.5,0.9489,-87.3018,-7.5449,-2.2,0 0 0 0 1 0 0,-70.069,-10.8242,-5.6882,-14.8708,-26.8719,5.1232,-41.5239,-70.069,QC'd by SigmaAldrich
31,50105955,24867482,C[C@]1(CCCC(C1)C(C)(C)NC(=O)CBr)NCC(COC2=CC=CC=C2CC=C)O,Active,43,,,Inhibitor,7.9433,95.971,,Partial curve; high efficacy,-5.1,1.331,0.9773,-98.9786,-3.0076,-2.1,0 0 0 0 0 1 0,-90.3925,-11.5385,-0.6346,4.6834,-5.413,-15.4958,20.6179,-90.3925,QC'd by SigmaAldrich
32,50107208,6918162,CN([C@@H]1CCCC[C@H]1N2CCCC2)C(=O)CC3=CC(=C(C=C3)Cl)Cl.Cl,Active,42,,,Inhibitor,11.2202,72.0786,,Partial curve; partial efficacy,-4.95,4.095,0.9222,-74.2928,-2.2142,-2.2,0 0 0 0 0 0 0,-73.7558,3.5816,-9.2518,-14.5854,8.3862,2.5238,-25.9438,-73.7558,QC'd by SigmaAldrich
33,50105933,238053,CN1C2CCC1CC(C2)OC(C3=CC=CC=C3)C4=CC=CC=C4.CS(=O)(=O)O,Active,42,,,Inhibitor,10,86.9462,,Partial curve; high efficacy,-5,3.99,0.921,-92.033,-5.0868,-2.1,0 0 0 0 0 0 0,-91.9545,-15.5988,6.0253,-13.4827,-11.7898,9.7808,-40.9359,-91.9545,QC'd by SigmaAldrich
34,50106706,11957649,C1CC1CN2CCC34[C@@H]5C6=C(C[C@]3(C2CC7=C4C(=C(C=C7)O)O5)O)C8=CC=CC=C8N6.Cl,Active,42,,,Inhibitor,11.2202,64.7452,,Partial curve; partial efficacy,-4.95,0.9,0.9767,-76.8605,-12.1153,-2.2,0 0 0 0 0 1 0,-62.7487,-7.1277,-16.7646,-13.8564,-14.0115,-22.8736,36.9879,-62.7487,QC'd by SigmaAldrich
35,50106705,11957648,C[N+](C)(C)CCC(=O)C1=CC=CC2=CC=CC=C21.[I-],Active,42,,,Inhibitor,10,91.3559,,Partial curve; high efficacy,-5,4.9549,0.9049,-83.6646,7.6912,-2.1,0 0 0 0 0 0 0,-84.3705,-10.1534,16.3003,4.2153,1.396,25.5041,-26.4923,-84.3705,QC'd by SigmaAldrich
36,50106792,1756,C1=CC=C(C=C1)C2=NO[N+](=C2C#N)[O-],Active,42,,,Inhibitor,10,57.8927,,Partial curve; partial efficacy,-5,4.9549,0.9625,-61.676,-3.7832,-2.2,0 0 0 0 0 0 0,-62.0493,-1.6464,-11.0214,-8.125,0.0327,0.7831,-25.4104,-62.0493,QC'd by SigmaAldrich
37,50106347,361655,CCCCCCCCCCCCCCCC(=O)NCC(COP(=O)([O-])OCC[N+](C)(C)C)OCC,Active,42,,,Inhibitor,11.2202,97.3456,,Partial curve; high efficacy,-4.95,4.095,0.925,-84.9564,12.3892,-2.1,1 0 0 0 0 0 0,-84.0712,30.7295,6.5788,3.951,33.9211,5.752,-19.8338,-84.0712,QC'd by SigmaAldrich
38,50106282,5359318,C[C@@H]([C@@H](C1=CC=CC=C1)O)NC.C[C@@H]([C@@H](C1=CC=CC=C1)O)NC.OS(=O)(=O)O,Active,42,,,Inhibitor,10,95.4201,,Partial curve; high efficacy,-5,4.9549,0.9419,-95.4201,0,-2.1,0 0 0 0 0 0 0,-96.3123,-13.6804,0.5472,8.0115,-8.7974,12.6315,-36.1099,-96.3123,QC'd by SigmaAldrich
39,50107088,3117,CCN(CC)C(=S)SSC(=S)N(CC)CC,Active,42,,,Inhibitor,10,101.491,,Partial curve; high efficacy,-5,2.5334,0.9748,-95.2169,6.2741,-2.1,0 0 0 0 0 0 0,-93.2899,-6.9562,11.2789,10.5487,9.5704,4.777,-39.2025,-93.2899,QC'd by SigmaAldrich
40,26753614,16759252,CN[C@H]1CCC(C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl.Cl,Active,42,,,Inhibitor,12.5893,83.3837,,Partial curve; high efficacy,-4.9,1.9673,0.9758,-89.965,-6.5812,-2.1,0 0 0 0 0 0 0,-83.963,-13.3433,-9.5168,1.8494,-5.4889,-9.2324,-35.9762,-83.963,QC'd by SigmaAldrich
41,50106029,644274,C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)N3C=C[N+](=C3)CC(C4=C(C=C(C=C4)Cl)Cl)OCC5=C(C=C(C=C5)Cl)Cl)Cl.[Cl-],Active,42,,,Inhibitor,11.2202,94.1129,,Partial curve; partial efficacy,-4.95,4.095,0.9739,-78.0526,16.0603,-2.2,0 0 0 0 0 0 0,-77.1727,20.048,23.2044,5.1416,14.186,18.0249,-15.4062,-77.1727,QC'd by SigmaAldrich
42,50106525,71420,CN(C)C(=O)C(CCN1CCC(CC1)(C2=CC=C(C=C2)Cl)O)(C3=CC=CC=C3)C4=CC=CC=C4.Cl,Active,42,,,Inhibitor,12.5893,72.5951,,Partial curve; partial efficacy,-4.9,4.5045,0.9629,-75.7061,-3.1109,-2.2,0 0 0 0 0 0 0,-75.727,-4.5735,-7.0681,-10.9797,5.3822,0.9165,-16.9403,-75.727,QC'd by SigmaAldrich
43,50105982,72311,C[N+]1=C2C(=C3C=CC(=C(C3=C1)OC)OC)C=CC4=CC5=C(C=C42)OCO5.[Cl-],Active,42,,,Inhibitor,10,96.5799,,Partial curve; high efficacy,-5,4.9549,0.9914,-91.0258,5.554,-2.1,0 0 0 1 0 0 0,-91.8437,4.2381,8.5643,-0.4362,52.343,9.1386,-30.4511,-91.8437,QC'd by SigmaAldrich
44,50105983,5280754,CCC1C(=O)N(CC(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1)C(C(C)C/C=C/C)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C,Active,42,,,Inhibitor,11.2202,85.376,,Partial curve; high efficacy,-4.95,4.5045,0.96,-95.1322,-9.7562,-2.1,0 0 0 0 1 0 0,-95.3237,-15.8915,2.2384,-16.4223,-13.3474,32.7965,-34.2897,-95.3237,QC'd by SigmaAldrich
45,26753555,16759248,CCCCN1C2CCC1CC(C2)OC(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F.Cl,Active,42,,,Inhibitor,10,91.0164,,Partial curve; high efficacy,-5,2.2526,0.9178,-97.4659,-6.4495,-2.1,0 0 0 0 0 0 0,-93.7215,-18.4461,-20.7659,3.2354,5.7732,-3.14,-49.4651,-93.7215,QC'd by SigmaAldrich
46,50106535,3885,CC1(CCC2=C(O1)C3=CC=CC=C3C(=O)C2=O)C,Active,42,,,Inhibitor,11.2202,106.979,,Partial curve; high efficacy,-4.95,4.095,0.9188,-107.619,-0.6405,-2.1,0 0 0 0 0 0 0,-106.23,-15.6644,-8.1799,-4.5348,4.962,21.8783,-37.2397,-106.23,QC'd by SigmaAldrich
47,50107098,11226716,CC1=C(C=CC(=C1)C2=NOC(=N2)C)C3=CC=C(C=C3)C(=O)N4CCC5=CC6=C(C=C54)C7(CCN(CC7)C)CO6.Cl,Active,42,,,Inhibitor,10,96.747,,Partial curve; high efficacy,-5,3.5117,0.9806,-83.668,13.0789,-2.1,1 0 0 0 0 0 0,-83.2383,-14.6079,5.1763,21.3933,9.6455,16.0291,-27.7061,-83.2383,QC'd by SigmaAldrich
48,50106267,9798284,CNCC[C@H](C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F.Cl,Active,42,,,Inhibitor,10,77.2498,,Partial curve; high efficacy,-5,3.5117,0.9522,-84.0909,-6.8411,-2.1,0 0 0 0 0 0 0,-84.5267,-15.0179,-12.7739,-1.0299,-9.6444,3.8842,-38.3186,-84.5267,QC'd by SigmaAldrich
49,50105904,3038495,COC1=CC=CC=C1N2CCN(CC2)CCCCNC(=O)C3=CC4=CC=CC=C4C=C3,Active,42,,,Inhibitor,11.2202,63.9722,,Partial curve; partial efficacy,-4.95,4.095,0.9436,-67.2696,-3.2974,-2.2,0 0 0 0 1 0 0,-66.7225,-13.1673,6.2515,-0.6293,-3.4453,31.5508,-25.0126,-66.7225,QC'd by SigmaAldrich
50,50104943,5353432,CC(C)(C)C1=CC=C(C=C1)S(=O)(=O)/C=C/C#N,Active,42,,,Inhibitor,11.2202,88.1055,,Partial curve; high efficacy,-4.95,4.9549,0.9713,-97.0064,-8.9009,-2.1,0 0 0 0 0 0 0,-97.4228,-11.7018,-13.8912,-15.3367,-6.255,1.5865,-31.7439,-97.4228,QC'd by SigmaAldrich
51,50106620,4053,C1=CC(=CC=C1CC(C(=O)O)N)N(CCCl)CCCl,Active,42,,,Inhibitor,8.9125,87.0958,,Partial curve; partial efficacy,-5.05,0.8,0.9978,-84.6317,2.4641,-2.2,1 0 0 0 1 0 0,-66.3298,-22.0563,4.0295,-1.349,-3.3658,37.5732,-41.8176,-66.3298,QC'd by SigmaAldrich
52,50107139,11957714,CC[C@@]12C=CCN3[C@@H]1[C@]4(CC3)C([C@]([C@@H]2OC(=O)C)(C(=O)OC)O)N(C5=CC(=C(C=C45)[C@]6(CC7CC(CN(C7)CCC8=C6NC9=CC=CC=C89)(CC)O)C(=O)OC)OC)C=O.OS(=O)(=O)O,Active,41,,,Inhibitor,19.9526,82.8762,,Partial curve; partial efficacy,-4.7,1.4641,0.9237,-92.0404,-9.1642,-2.2,0 0 1 0 0 0 0,-76.7004,-1.3584,-19.1179,-32.3537,-9.9242,-20.995,-26.6131,-76.7004,QC'd by SigmaAldrich
53,50107160,11957719,CC[C@@]12C=CCN3[C@@H]1[C@]4(CC3)C([C@]([C@@H]2OC(=O)C)(C(=O)OC)O)N(C5=CC(=C(C=C45)[C@]6(CC7CC(CN(C7)CCC8=C6NC9=CC=CC=C89)(CC)O)C(=O)OC)OC)C.OS(=O)(=O)O,Active,41,,,Inhibitor,15.8489,79.8794,,Partial curve; high efficacy,-4.8,1.4641,0.9218,-96.8587,-16.9792,-2.1,1 0 1 0 0 0 0,-83.2155,-25.5057,-7.8706,-40.2973,-30.5977,-17.4912,-41.5645,-83.2155,QC'd by SigmaAldrich
54,50106461,154494,C1CN=C(N1)C2COC3=CC=CC=C3O2.Cl,Active,41,,,Inhibitor,19.9526,110.707,,Partial curve; high efficacy,-4.7,0.9,0.9076,-126.463,-15.756,-2.1,0 0 0 0 0 0 0,-97.7672,-7.3579,-21.2628,-6.3448,-26.3608,-38.5922,-42.198,-97.7672,QC'd by SigmaAldrich
55,50104726,24360,CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O,Inconclusive,28,,,Inhibitor,0.0447,40.6227,,Complete curve; partial efficacy,-7.35,4.9549,0.993,-59.3033,-18.6806,-1.2,0 0 0 0 1 0 0,-59.2835,-20.9252,-16.2196,-55.8134,-58.1574,-38.4009,-60.5594,-59.2835,QC'd by SigmaAldrich
56,50106837,6093162,CC1C(O1)P(=O)([O-])[O-].[Na+].[Na+],Inconclusive,25,,,Inhibitor,0.3548,54.7307,,Partial curve; partial efficacy,-6.45,3.132,0.9644,-48.2307,6.5,-2.2,0 0 0 0 0 1 1,8.0346,-1.1741,11.0504,8.8241,-22.9586,-47.578,17.1854,8.0346,QC'd by SigmaAldrich
57,50106352,62857,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F.Cl,Inconclusive,24,,,Inhibitor,2.8184,101.44,,Partial curve; partial efficacy,-5.55,0.5,0.9966,-74.836,26.6043,-2.2,1 0 0 0 0 1 0,-55.9165,31.3573,21.4457,10.1221,0.0091,-17.1431,19.8145,-55.9165,QC'd by SigmaAldrich
