PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Text Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Standardized version of non-numeric measurement,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,,
133,504778062,172433174,CCNC(=O)C1=CC2=C(N1)N=CN=C2N[C@@H](C3=CC4=C(C=C3)OCCO4)C(C)C,Unspecified,,,,20,EC50,>,20000,,nM,Falls Outside The Dose Series
134,504778062,172433174,CCNC(=O)C1=CC2=C(N1)N=CN=C2N[C@@H](C3=CC4=C(C=C3)OCCO4)C(C)C,Unspecified,,,,20,EC90,>,20,,uM,Falls Outside The Dose Series
135,504778063,171389882,CC(C)[C@@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C5=C(N(N=C5)C)C#N,Active,,,,6.21,EC50,=,6210,,nM,
136,504778063,171389882,CC(C)[C@@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C5=C(N(N=C5)C)C#N,Active,,,,7.194,EC90,=,7.194,,uM,
137,504778064,172433175,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C5=COC(=C5)CNC,Unspecified,,,,20,EC50,>,20000,,nM,Falls Outside The Dose Series
138,504778064,172433175,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C5=COC(=C5)CNC,Unspecified,,,,20,EC90,>,20,,uM,Falls Outside The Dose Series
139,504778064,172433175,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C5=COC(=C5)CNC,Unspecified,,,,11.637,EC50,=,11637,,nM,
140,504778064,172433175,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C5=COC(=C5)CNC,Unspecified,,,,20,EC90,>,20,,uM,Falls Outside The Dose Series
141,504778065,171389909,C[C@@H]([C@H](C1=CC=C(C=C1)Br)NC(=O)C2=C3C=CNC3=NC=N2)C(=O)O,Unspecified,,,,20,EC50,>,20000,,nM,Falls Outside The Dose Series
142,504778065,171389909,C[C@@H]([C@H](C1=CC=C(C=C1)Br)NC(=O)C2=C3C=CNC3=NC=N2)C(=O)O,Unspecified,,,,20,EC90,>,20,,uM,Falls Outside The Dose Series
143,504778065,171389909,C[C@@H]([C@H](C1=CC=C(C=C1)Br)NC(=O)C2=C3C=CNC3=NC=N2)C(=O)O,Unspecified,,,,20,EC50,>,20000,,nM,Falls Outside The Dose Series
144,504778065,171389909,C[C@@H]([C@H](C1=CC=C(C=C1)Br)NC(=O)C2=C3C=CNC3=NC=N2)C(=O)O,Unspecified,,,,20,EC90,>,20,,uM,Falls Outside The Dose Series
145,504778066,171389876,COC1=CC=C(C=C1)[C@@H](CC2=NNN=N2)NC(=O)C3=C4C=CNC4=NC=N3,Unspecified,,,,20,EC50,>,20000,,nM,Falls Outside The Dose Series
146,504778066,171389876,COC1=CC=C(C=C1)[C@@H](CC2=NNN=N2)NC(=O)C3=C4C=CNC4=NC=N3,Unspecified,,,,20,EC90,>,20,,uM,Falls Outside The Dose Series
147,504778067,171389917,CC(C)[C@@H](C1=CC2=C(C=C1)OCC(=O)N2)NC3=NC=NC4=C3C=C(N4)C5=C(N(N=C5)C)C#N,Active,,,,1.334,EC50,=,1334,,nM,
148,504778067,171389917,CC(C)[C@@H](C1=CC2=C(C=C1)OCC(=O)N2)NC3=NC=NC4=C3C=C(N4)C5=C(N(N=C5)C)C#N,Unspecified,,,,20,EC90,>,20,,uM,Falls Outside The Dose Series
149,504778068,172433176,CCNC(=O)C1=CC2=C(N1)N=CN=C2N[C@@H](C3=CC4=C(CCNS4(=O)=O)C=C3)C(C)C,Unspecified,,,,20,EC50,>,20000,,nM,Falls Outside The Dose Series
150,504778068,172433176,CCNC(=O)C1=CC2=C(N1)N=CN=C2N[C@@H](C3=CC4=C(CCNS4(=O)=O)C=C3)C(C)C,Unspecified,,,,20,EC90,>,20,,uM,Falls Outside The Dose Series
151,504778069,171389933,CC(C)[C@@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C5=CN(N=C5)C,Unspecified,,,,20,EC50,>,20000,,nM,Falls Outside The Dose Series
152,504778069,171389933,CC(C)[C@@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C5=CN(N=C5)C,Unspecified,,,,20,EC90,>,20,,uM,Falls Outside The Dose Series
153,504778070,172433177,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C5=CN(N=C5)CC(=O)NC,Unspecified,,,,20,EC50,>,20000,,nM,Falls Outside The Dose Series
154,504778070,172433177,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C5=CN(N=C5)CC(=O)NC,Unspecified,,,,20,EC90,>,20,,uM,Falls Outside The Dose Series
155,504778070,172433177,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C5=CN(N=C5)CC(=O)NC,Unspecified,,,,20,EC50,>,20000,,nM,Falls Outside The Dose Series
156,504778070,172433177,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C5=CN(N=C5)CC(=O)NC,Unspecified,,,,20,EC90,>,20,,uM,Falls Outside The Dose Series
157,504778071,172433178,CC(C)[C@H](C1=NC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=C(N(N=C5)C)C#N,Active,,,,5.89,EC50,=,5890,,nM,
158,504778071,172433178,CC(C)[C@H](C1=NC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=C(N(N=C5)C)C#N,Active,,,,6.444,EC90,=,6.444,,uM,
159,504778071,172433178,CC(C)[C@H](C1=NC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=C(N(N=C5)C)C#N,Active,,,,5.045,EC50,=,5045,,nM,
160,504778071,172433178,CC(C)[C@H](C1=NC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=C(N(N=C5)C)C#N,Active,,,,3.944,EC50,=,3944,,nM,
161,504778071,172433178,CC(C)[C@H](C1=NC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=C(N(N=C5)C)C#N,Active,,,,9.222,EC90,=,9.222,,uM,
162,504778071,172433178,CC(C)[C@H](C1=NC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=C(N(N=C5)C)C#N,Active,,,,1.526,EC50,=,1526,,nM,
163,504778071,172433178,CC(C)[C@H](C1=NC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=C(N(N=C5)C)C#N,Active,,,,7.547,EC90,=,7.547,,uM,
164,504778071,172433178,CC(C)[C@H](C1=NC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=C(N(N=C5)C)C#N,Unspecified,,,,10.47,EC90,=,10.47,,uM,
