PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Text Value,Standard Units,Activity Comment,Data Validity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Standardized version of non-numeric measurement,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,,,
353,504841263,75520139,CC1=C(NC2=C1C(=NC=N2)NC(=O)C3=CC=NC=C3)C,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
354,504841263,75520139,CC1=C(NC2=C1C(=NC=N2)NC(=O)C3=CC=NC=C3)C,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
355,504841264,172472030,C1=CC(=CC=C1[C@@H](CC(=O)O)NC(=O)C2=NC=CC3=C2C=NN3)Br,Unspecified,,,,24.672,IC50,=,24672,,nM,,
356,504841264,172472030,C1=CC(=CC=C1[C@@H](CC(=O)O)NC(=O)C2=NC=CC3=C2C=NN3)Br,Unspecified,,,,24.194,IC50,=,24194,,nM,,
357,504841265,172472031,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=CC6=C(NC(=O)C6)N=C5,Active,,,,1.299,IC50,=,1299,,nM,,
358,504841265,172472031,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=CC6=C(NC(=O)C6)N=C5,Active,,,,1.505,IC50,=,1505,,nM,,
359,504841266,172472032,CC(C)[C@H](C1=CC2=C(C=C1)OCC(=O)N2)NC3=NC=NC4=C3C=C(N4)C5=CN(N=C5)CC(=O)N,Active,,,,0.203,IC50,=,203,,nM,,
360,504841266,172472032,CC(C)[C@H](C1=CC2=C(C=C1)OCC(=O)N2)NC3=NC=NC4=C3C=C(N4)C5=CN(N=C5)CC(=O)N,Active,,,,0.23,IC50,=,230,,nM,,
361,504841266,172472032,CC(C)[C@H](C1=CC2=C(C=C1)OCC(=O)N2)NC3=NC=NC4=C3C=C(N4)C5=CN(N=C5)CC(=O)N,Active,,,,0.27,IC50,=,270,,nM,,
362,504841266,172472032,CC(C)[C@H](C1=CC2=C(C=C1)OCC(=O)N2)NC3=NC=NC4=C3C=C(N4)C5=CN(N=C5)CC(=O)N,Unspecified,,,,47.9,IC50,=,47900,,nM,,
363,504841267,171389898,CC(C)[C@@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C(=CN4)C(=O)NC5CC5,Active,,,,3.902,IC50,=,3902,,nM,,
364,504841267,171389898,CC(C)[C@@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C(=CN4)C(=O)NC5CC5,Active,,,,6.457,IC50,=,6457,,nM,,
365,504841267,171389898,CC(C)[C@@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C(=CN4)C(=O)NC5CC5,Active,,,,4.275,IC50,=,4275,,nM,,
366,504841268,172472033,COC[C@@H]1C[C@@H]1CNC2=CC=C(C=C2)[C@@H](CC(=O)O)NC(=O)C3=C4C=CNC4=NC=N3,Unspecified,,,,44.506,IC50,=,44506,,nM,,
367,504841268,172472033,COC[C@@H]1C[C@@H]1CNC2=CC=C(C=C2)[C@@H](CC(=O)O)NC(=O)C3=C4C=CNC4=NC=N3,Unspecified,,,,43.915,IC50,=,43915,,nM,,
368,504841269,172472034,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=CC=C(O5)C(=O)C,Active,,,,1.507,IC50,=,1507,,nM,,
369,504841269,172472034,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=CC=C(O5)C(=O)C,Active,,,,1.447,IC50,=,1447,,nM,,
370,504841270,172472035,CC1=C(NC2=C1C(=NC=N2)NC(=O)C3=CN=C(C=C3)OC)C,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
371,504841270,172472035,CC1=C(NC2=C1C(=NC=N2)NC(=O)C3=CN=C(C=C3)OC)C,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
372,504841271,172472036,C1CC1[C@H](C2=CC3=C(C=C2)OCCO3)NC4=NC=NC5=C4C=NN5,Unspecified,,,,17.695,IC50,=,17695,,nM,,
373,504841271,172472036,C1CC1[C@H](C2=CC3=C(C=C2)OCCO3)NC4=NC=NC5=C4C=NN5,Unspecified,,,,19.859,IC50,=,19859,,nM,,
374,504841272,172472037,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C5=CN=C(C=C5)S(=O)(=O)C,Active,,,,0.049,IC50,=,49,,nM,,
375,504841272,172472037,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C5=CN=C(C=C5)S(=O)(=O)C,Active,,,,0.054,IC50,=,54,,nM,,
376,504841272,172472037,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C5=CN=C(C=C5)S(=O)(=O)C,Active,,,,0.094,IC50,=,94,,nM,,
377,504841272,172472037,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C5=CN=C(C=C5)S(=O)(=O)C,Active,,,,0.06,IC50,=,60,,nM,,
378,504841272,172472037,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C5=CN=C(C=C5)S(=O)(=O)C,Active,,,,0.069,IC50,=,69,,nM,,
379,504841273,172472038,CC1=C(C(=NN1)C)C2=CC3=C(N2)N=CN=C3N[C@@H](C4=CC5=C(C=C4)OCCO5)C(C)C,Unspecified,,,,31.732,IC50,=,31732,,nM,,
380,504841274,172472039,CC1=C(NC2=C1C(=NC=N2)NC(=O)[C@@H]3CC4=CC=CC=C4CO3)C,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
381,504841274,172472039,CC1=C(NC2=C1C(=NC=N2)NC(=O)[C@@H]3CC4=CC=CC=C4CO3)C,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
382,504841275,172472040,C1CC1NC(=O)NC2=CC=C(C=C2)C(=O)N[C@H](CC(=O)O)C3=CN=CC=C3,Unspecified,,,,77.115,IC50,=,77115,,nM,,
383,504841275,172472040,C1CC1NC(=O)NC2=CC=C(C=C2)C(=O)N[C@H](CC(=O)O)C3=CN=CC=C3,Unspecified,,,,68.167,IC50,=,68167,,nM,,
384,504841276,172472041,C1C[C@@H](N(C1)C2=NC=NC3=C2C=CN3)C4=CC5=C(C=C4)OCCO5,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
385,504841276,172472041,C1C[C@@H](N(C1)C2=NC=NC3=C2C=CN3)C4=CC5=C(C=C4)OCCO5,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
386,504841277,172472042,CC(C)OCCNC(=O)C1=CC2=C(N1C)N=C3C=CC=CN3C2=O,Unspecified,,,,124.375,IC50,>,124375,,nM,Falls Outside The Dose Series,Outside typical range
387,504841278,172472043,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C(=O)NC5CCN(CC5)C,Active,,,,0.208,IC50,=,208,,nM,,
388,504841279,172472044,CNS(=O)(=O)C[C@H](C1=CC=C(C=C1)Br)NC(=O)C2=C3C=CNC3=NC=N2,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
389,504841280,172472045,CC(C)[C@@H](CO)NC(=O)C1=CNC2=C1C=CC=C2NC(=O)NC3CC3,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
390,504841281,172472046,CCNC(=O)C1=CC2=C(N1)N=CN=C2N[C@H](C3CC3)C4=CC5=C(CCCS5(=O)=O)C=C4,Active,,,,0.395,IC50,=,395,,nM,,
391,504841281,172472046,CCNC(=O)C1=CC2=C(N1)N=CN=C2N[C@H](C3CC3)C4=CC5=C(CCCS5(=O)=O)C=C4,Active,,,,0.261,IC50,=,261,,nM,,
392,504841282,172472047,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=CC(=C3)C(=O)N,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
393,504841283,172472048,CC1=CSC(=N1)NC(=O)CSC[C@H](C(=O)O)NC(=O)C2=C3C=CNC3=NC=N2,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
394,504841283,172472048,CC1=CSC(=N1)NC(=O)CSC[C@H](C(=O)O)NC(=O)C2=C3C=CNC3=NC=N2,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
395,504841284,172472049,C1=CC(=CC=C1[C@H](CC2=NNN=N2)NC(=O)C3=C4C=CNC4=NC=N3)Br,Active,,,,1.921,IC50,=,1921,,nM,,
396,504841284,172472049,C1=CC(=CC=C1[C@H](CC2=NNN=N2)NC(=O)C3=C4C=CNC4=NC=N3)Br,Active,,,,2.115,IC50,=,2115,,nM,,
397,504841285,172472050,CNC1=CC=CC(=C1)[C@@H](CC(=O)O)NC(=O)C2=C3C=CNC3=NC=N2,Unspecified,,,,66.287,IC50,=,66287,,nM,,
398,504841285,172472050,CNC1=CC=CC(=C1)[C@@H](CC(=O)O)NC(=O)C2=C3C=CNC3=NC=N2,Unspecified,,,,25.682,IC50,=,25682,,nM,,
399,504841286,164513246,C1CC1NC(=O)NC2=CC=C(C=C2)C(=O)NCC3=C(NC4=CC=CC=C43)C(=O)O,Unspecified,,,,13.647,IC50,=,13647,,nM,,
400,504841287,172472051,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C(=O)NCC5(CC5)C#N,Active,,,,1.094,IC50,=,1094,,nM,,
401,504841287,172472051,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C(=O)NCC5(CC5)C#N,Active,,,,2.636,IC50,=,2636,,nM,,
402,504841288,172472052,CCNC(=O)C1=CC2=C(N1)N=CN=C2N[C@@H](C3=CC4=C(C=C3)N(CC4)C(=O)C5CC5)C(C)C,Unspecified,,,,24.584,IC50,=,24584,,nM,,
403,504841289,172472053,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=CC4=C3NC(=O)N4,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
404,504841290,172472054,CC(C)C1=C(C=NN1)C2=CC3=C(N2)N=CN=C3N[C@@H](C4=CC5=C(C=C4)OCCO5)C(C)C,Active,,,,2.01,IC50,=,2010,,nM,,
405,504841290,172472054,CC(C)C1=C(C=NN1)C2=CC3=C(N2)N=CN=C3N[C@@H](C4=CC5=C(C=C4)OCCO5)C(C)C,Active,,,,2.065,IC50,=,2065,,nM,,
406,504841291,26812626,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC(=O)C3=NN(N=C3)C4=CC=CC=C4,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
407,504841292,172472055,CC(C)[C@H](C1=CC2=NNN=C2C=C1)NC3=NC=NC4=C3C=CN4,Active,,,,3.497,IC50,=,3497,,nM,,
408,504841292,172472055,CC(C)[C@H](C1=CC2=NNN=C2C=C1)NC3=NC=NC4=C3C=CN4,Active,,,,4.099,IC50,=,4099,,nM,,
409,504841292,172472055,CC(C)[C@H](C1=CC2=NNN=C2C=C1)NC3=NC=NC4=C3C=CN4,Active,,,,4.03,IC50,=,4030,,nM,,
410,504841293,172472056,COC1=NNC(=C1)NC2=CC=C(C=C2)C(=O)N[C@H]3[C@@H](CC4=C3C=CC=C4O)C(=O)O,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
411,504841294,75454125,CC1=C(NC2=C1C(=NC=N2)NC(=O)C3=NC=C(C=C3)Cl)C,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
412,504841295,172472057,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=CN6C=CN=C6C=C5,Active,,,,1.136,IC50,=,1136,,nM,,
413,504841295,172472057,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=CN6C=CN=C6C=C5,Active,,,,1.382,IC50,=,1382,,nM,,
414,504841296,172472058,C1CN(CCC1O)C2=CC=C(C=C2)C(=O)NC3=CC=C(C=C3)C(=O)N[C@H]4[C@H](CC5=CC=CC=C45)C(=O)O,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
415,504841297,172472059,CCN1C=C(C(=N1)C)C2=CC3=C(N2)N=CN=C3N[C@@H](C4=CC5=C(C=C4)OCCO5)C(C)C,Active,,,,0.423,IC50,=,423,,nM,,
416,504841297,172472059,CCN1C=C(C(=N1)C)C2=CC3=C(N2)N=CN=C3N[C@@H](C4=CC5=C(C=C4)OCCO5)C(C)C,Active,,,,0.473,IC50,=,473,,nM,,
417,504841298,172472060,C1CCN(CC1)C(=O)C2=C3C=C(C=CN3N=C2)C4CCN(CC4)C(=O)C5=C(C=CS5)C(=O)O,Unspecified,,,,58.909,IC50,=,58909,,nM,,
418,504841299,172472061,CC1=NC=C(O1)CNC(=O)C2=CC3=C(N2)N=CN=C3N[C@@H](C4=CC5=C(C=C4)OCCO5)C(C)C,Active,,,,0.695,IC50,=,695,,nM,,
419,504841299,172472061,CC1=NC=C(O1)CNC(=O)C2=CC3=C(N2)N=CN=C3N[C@@H](C4=CC5=C(C=C4)OCCO5)C(C)C,Active,,,,0.623,IC50,=,623,,nM,,
420,504841300,92822508,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=CC=CC=C43,Unspecified,,,,58.26,IC50,=,58260,,nM,,
421,504841300,92822508,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=CC=CC=C43,Unspecified,,,,59.922,IC50,=,59922,,nM,,
422,504841301,172472062,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=CC(=NC=N3)N4CCC[C@H]4C(=O)O,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
423,504841302,172472063,CC(C)[C@H](C1=CC2=C(C=C1)OCCN2C)NC3=NC=NC4=C3C=CN4,Unspecified,,,,27.831,IC50,=,27831,,nM,,
424,504841302,172472063,CC(C)[C@H](C1=CC2=C(C=C1)OCCN2C)NC3=NC=NC4=C3C=CN4,Unspecified,,,,31.7,IC50,=,31700,,nM,,
425,504841303,172472064,CC(C)[C@H](C1=NC2=C(C=C1)OCC(=O)N2)NC3=NC=NC4=C3C=C(N4)C5=CN(N=C5)CC(=O)N,Active,,,,0.25,IC50,=,250,,nM,,
426,504841303,172472064,CC(C)[C@H](C1=NC2=C(C=C1)OCC(=O)N2)NC3=NC=NC4=C3C=C(N4)C5=CN(N=C5)CC(=O)N,Active,,,,0.302,IC50,=,302,,nM,,
427,504841303,172472064,CC(C)[C@H](C1=NC2=C(C=C1)OCC(=O)N2)NC3=NC=NC4=C3C=C(N4)C5=CN(N=C5)CC(=O)N,Active,,,,0.355,IC50,=,355,,nM,,
428,504841304,172472065,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C(=O)NCC5(CCC5)CO,Active,,,,1.295,IC50,=,1295,,nM,,
429,504841304,172472065,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C(=O)NCC5(CCC5)CO,Active,,,,2.346,IC50,=,2346,,nM,,
430,504841305,2810370,CC1=C(C(=CC=C1)Cl)N2C(=O)N(C(=O)S2)CC3CC3,Unspecified,,,,22.96,IC50,=,22960,,nM,,
431,504841306,172472066,CC(C)(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=CN4,Active,,,,1.226,IC50,=,1226,,nM,,
432,504841306,172472066,CC(C)(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=CN4,Active,,,,1.059,IC50,=,1059,,nM,,
433,504841307,172472067,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=CC(=NN5)C6=CC=CC=C6,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
434,504841308,172472068,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C5=CC=C(C=C5)S(=O)(=O)NCCO,Active,,,,0.1,IC50,=,100,,nM,,
435,504841308,172472068,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C5=CC=C(C=C5)S(=O)(=O)NCCO,Active,,,,0.09,IC50,=,90,,nM,,
436,504841308,172472068,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C5=CC=C(C=C5)S(=O)(=O)NCCO,Active,,,,0.156,IC50,=,156,,nM,,
437,504841309,172472069,CCN1C(=C(C=N1)C2=CC3=C(N2)N=CN=C3N[C@@H](C4=CC5=C(C=C4)OCCO5)C(C)C)C#N,Active,,,,0.857,IC50,=,857,,nM,,
438,504841309,172472069,CCN1C(=C(C=N1)C2=CC3=C(N2)N=CN=C3N[C@@H](C4=CC5=C(C=C4)OCCO5)C(C)C)C#N,Active,,,,0.8,IC50,=,800,,nM,,
439,504841310,172472070,C1=CC=C(C=C1)[C@@H](CC(=O)O)NC(=O)C2=C3C=CNC3=NC=N2,Active,,,,4.201,IC50,=,4201,,nM,,
440,504841310,172472070,C1=CC=C(C=C1)[C@@H](CC(=O)O)NC(=O)C2=C3C=CNC3=NC=N2,Active,,,,4.194,IC50,=,4194,,nM,,
441,504841311,172472071,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3NC=N4,Active,,,,1.322,IC50,=,1322,,nM,,
442,504841311,172472071,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3NC=N4,Active,,,,1.273,IC50,=,1273,,nM,,
443,504841311,172472071,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3NC=N4,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
444,504841312,172472072,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=C4C=CNC4=NC=C3N,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
445,504841313,172472073,CC(C)[C@@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC(=NC=C3)NC,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
446,504841314,171389908,CC(C)[C@@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3NC=N4,Active,,,,0.743,IC50,=,743,,nM,,
447,504841315,172472074,C1CCC(CC1)C[C@H](C(=O)O)NC2=NC=NC3=C2C=CN3,Unspecified,,,,74.645,IC50,=,74645,,nM,,
448,504841315,172472074,C1CCC(CC1)C[C@H](C(=O)O)NC2=NC=NC3=C2C=CN3,Unspecified,,,,71.425,IC50,=,71425,,nM,,
449,504841316,172472075,CC1=NN=C(O1)CNC(=O)C2=CC3=C(N2)N=CN=C3N[C@@H](C4=CC5=C(C=C4)OCCO5)C(C)C,Active,,,,1.118,IC50,=,1118,,nM,,
450,504841317,172472076,CC(C)[C@H](C1=CC2=C(C=C1)OCS2(=O)=O)NC3=NC=NC4=C3C=CN4,Active,,,,3.623,IC50,=,3623,,nM,,
451,504841317,172472076,CC(C)[C@H](C1=CC2=C(C=C1)OCS2(=O)=O)NC3=NC=NC4=C3C=CN4,Active,,,,2.35,IC50,=,2350,,nM,,
452,504841318,172472077,C1CC1NC(=O)NC2=CC=CC3=C2NC=C3C(=O)N[C@H](C4=CC5=C(C=C4)OCCO5)C(=O)O,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
453,504841318,172472077,C1CC1NC(=O)NC2=CC=CC3=C2NC=C3C(=O)N[C@H](C4=CC5=C(C=C4)OCCO5)C(=O)O,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
454,504841319,172472078,CNC1=CC=C(C=C1)[C@@H](CC(=O)O)NC(=O)C2=C3C=CNC3=NC=N2,Unspecified,,,,28.881,IC50,=,28881,,nM,,
455,504841319,172472078,CNC1=CC=C(C=C1)[C@@H](CC(=O)O)NC(=O)C2=C3C=CNC3=NC=N2,Unspecified,,,,34.595,IC50,=,34595,,nM,,
456,504841320,155965669,CC1=C(C(=O)NC(=N1)C)CC(=O)NC2=CN=C3C(=C2)C=NN3,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
457,504841321,172472079,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C(=CN4)C(=O)OC,Active,,,,3.114,IC50,=,3114,,nM,,
458,504841321,172472079,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C(=CN4)C(=O)OC,Active,,,,3.488,IC50,=,3488,,nM,,
459,504841322,172472080,CC1=CC2=C(C=C1)SN=C2C(=O)N(C)CC[C@H](C(C)C)NC3=NC=NC4=C3C=CN4,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
460,504841323,172472081,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=C(N(N=C5)C(C)C)C#N,Active,,,,1.844,IC50,=,1844,,nM,,
461,504841323,172472081,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=C(N(N=C5)C(C)C)C#N,Active,,,,2.019,IC50,=,2019,,nM,,
462,504841324,172472082,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=CN(N=C5)C,Active,,,,0.538,IC50,=,538,,nM,,
463,504841324,172472082,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=CN(N=C5)C,Active,,,,0.616,IC50,=,616,,nM,,
464,504841324,172472082,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=CN(N=C5)C,Active,,,,0.618,IC50,=,618,,nM,,
465,504841325,172472083,CC1=C(NC2=C1C(=NC=N2)NC(=O)C3=NN=CC=C3)C,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
466,504841325,172472083,CC1=C(NC2=C1C(=NC=N2)NC(=O)C3=NN=CC=C3)C,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
467,504841326,172472084,C1CCN(CC1)C(=O)C2=C3C=C(C=CN3N=C2)C4CCN(CC4)C(=O)C5=C(SC=C5)C(=O)O,Unspecified,,,,37.984,IC50,=,37984,,nM,,
468,504841327,172472085,CC(C)[C@@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=C4C(=NC=N3)OCCN4,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
469,504841328,172472086,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=CC=CC4=C3C(=O)NC=N4,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
470,504841328,172472086,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=CC=CC4=C3C(=O)NC=N4,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
471,504841329,172472087,CC1=NOC2=C1C=C(C=N2)C3=CC4=C(N3)N=CN=C4N[C@@H](C5=CC6=C(C=C5)OCCO6)C(C)C,Active,,,,3.732,IC50,=,3732,,nM,,
472,504841329,172472087,CC1=NOC2=C1C=C(C=N2)C3=CC4=C(N3)N=CN=C4N[C@@H](C5=CC6=C(C=C5)OCCO6)C(C)C,Active,,,,3,IC50,=,3000,,nM,,
473,504841330,172472088,CC1=C(NC2=C1C(=NC=N2)NC(=O)C3=CN=C(C=C3)C#N)C,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
474,504841331,172472089,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=CNN=C5,Active,,,,0.713,IC50,=,713,,nM,,
475,504841331,172472089,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=CNN=C5,Active,,,,0.737,IC50,=,737,,nM,,
476,504841332,172472090,COC1=C(C=C(C=C1)C(=O)NC2=CC=C(C=C2)C(=O)N[C@H]3[C@H](CC4=CC=CC=C34)C(=O)O)S(=O)(=O)NCCN5CCCC5,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
477,504841333,172472091,CC1=C(NC2=C1C(=NC=N2)NC(=O)C3=CN=C(C=N3)Cl)C,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
478,504841333,172472091,CC1=C(NC2=C1C(=NC=N2)NC(=O)C3=CN=C(C=N3)Cl)C,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
479,504841334,172472092,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=CNC(=C5)C(=O)OC,Active,,,,4.972,IC50,=,4972,,nM,,
480,504841334,172472092,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=CNC(=C5)C(=O)OC,Active,,,,4.995,IC50,=,4995,,nM,,
481,504841335,172472093,CC(C)[C@@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3CNCC4,Unspecified,,,,99.5,IC50,>,99500,,nM,Falls Outside The Dose Series,
482,504841336,172472094,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C5=C(C=C6C(=C5)CCC(=O)N6)F,Active,,,,0.297,IC50,=,297,,nM,,
483,504841336,172472094,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C5=C(C=C6C(=C5)CCC(=O)N6)F,Active,,,,0.189,IC50,=,189,,nM,,
484,504841336,172472094,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C5=C(C=C6C(=C5)CCC(=O)N6)F,Active,,,,0.345,IC50,=,345,,nM,,
