PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Text Value,Standard Units,Activity Comment
20,504778059,172433171,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C(=O)N[C@@H]5CCN(C5)C,Active,,,,0.316,IC50,=,316,,nM,
21,504778059,172433171,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C(=O)N[C@@H]5CCN(C5)C,Active,,,,0.454,IC50,=,454,,nM,
22,504778061,172433173,COC1=CC=C(C=C1)[C@H](CC2=NNN=N2)NC(=O)C3=C4C=CNC4=NC=N3,Active,,,,2.343,IC50,=,2343,,nM,
23,504778061,172433173,COC1=CC=C(C=C1)[C@H](CC2=NNN=N2)NC(=O)C3=C4C=CNC4=NC=N3,Active,,,,1.49,IC50,=,1490,,nM,
24,504778061,172433173,COC1=CC=C(C=C1)[C@H](CC2=NNN=N2)NC(=O)C3=C4C=CNC4=NC=N3,Active,,,,1.614,IC50,=,1614,,nM,
25,504778064,172433175,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C5=COC(=C5)CNC,Active,,,,0.289,IC50,=,289,,nM,
26,504778064,172433175,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C5=COC(=C5)CNC,Active,,,,0.396,IC50,=,396,,nM,
27,504778064,172433175,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C5=COC(=C5)CNC,Active,,,,0.533,IC50,=,533,,nM,
28,504778065,171389909,C[C@@H]([C@H](C1=CC=C(C=C1)Br)NC(=O)C2=C3C=CNC3=NC=N2)C(=O)O,Active,,,,1.336,IC50,=,1336,,nM,
29,504778065,171389909,C[C@@H]([C@H](C1=CC=C(C=C1)Br)NC(=O)C2=C3C=CNC3=NC=N2)C(=O)O,Active,,,,1.899,IC50,=,1899,,nM,
30,504778065,171389909,C[C@@H]([C@H](C1=CC=C(C=C1)Br)NC(=O)C2=C3C=CNC3=NC=N2)C(=O)O,Active,,,,1.795,IC50,=,1795,,nM,
31,504778070,172433177,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C5=CN(N=C5)CC(=O)NC,Active,,,,0.204,IC50,=,204,,nM,
32,504778070,172433177,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C5=CN(N=C5)CC(=O)NC,Active,,,,0.197,IC50,=,197,,nM,
33,504778070,172433177,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=NC=NC4=C3C=C(N4)C5=CN(N=C5)CC(=O)NC,Active,,,,0.288,IC50,=,288,,nM,
34,504778071,172433178,CC(C)[C@H](C1=NC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=C(N(N=C5)C)C#N,Active,,,,0.283,IC50,=,283,,nM,
35,504778071,172433178,CC(C)[C@H](C1=NC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=C(N(N=C5)C)C#N,Active,,,,0.156,IC50,=,156,,nM,
36,504778071,172433178,CC(C)[C@H](C1=NC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=C(N4)C5=C(N(N=C5)C)C#N,Active,,,,0.312,IC50,=,312,,nM,
37,504841511,172472251,CC(C)[C@H](C1=CC2=C(C=C1)OCCO2)NC3=NC=NC4=C3C=CN4,Active,,,,2.968,IC50,=,2968,,nM,
38,504841875,172472585,CC(C)[C@H](C1=CC2=C(CCCS2(=O)=O)C=C1)NC3=CC4=C(N=C3)N=CN4,Unspecified,,,,,IC50,,,IC50 could not be calculated,,
